checkpoint,kimg,truncation_psi,cat_score,cat_score_std,dog_score,dog_score_std
network-snapshot-000000.pkl,0,0.9,0.000174,0.000167,0.004188,0.003661
network-snapshot-000200.pkl,200,0.9,0.000768,0.003086,0.105695,0.243549
network-snapshot-000400.pkl,400,0.9,0.072876,0.211112,0.301853,0.387095
network-snapshot-000600.pkl,600,0.9,0.267220,0.403106,0.394981,0.447749
network-snapshot-000800.pkl,800,0.9,0.352005,0.432564,0.410522,0.453115
network-snapshot-001000.pkl,1000,0.9,0.358462,0.434398,0.461362,0.468051
