checkpoint,kimg,truncation_psi,FID
network-snapshot-000000.pkl,0,0.1,343.2988
network-snapshot-000000.pkl,0,0.8,286.8509
network-snapshot-000000.pkl,0,0.85,286.1733
network-snapshot-000000.pkl,0,0.9,285.7454
network-snapshot-000000.pkl,0,0.95,285.1138
network-snapshot-000000.pkl,0,1.0,284.7603
network-snapshot-000200.pkl,200,0.1,289.7649
network-snapshot-000200.pkl,200,0.8,218.5295
network-snapshot-000200.pkl,200,0.85,215.8076
network-snapshot-000200.pkl,200,0.9,213.0697
network-snapshot-000200.pkl,200,0.95,210.8631
network-snapshot-000200.pkl,200,1.0,208.9441
network-snapshot-000400.pkl,400,0.1,189.2025
network-snapshot-000400.pkl,400,0.8,135.8717
network-snapshot-000400.pkl,400,0.85,136.2562
network-snapshot-000400.pkl,400,0.9,137.0969
network-snapshot-000400.pkl,400,0.95,138.0987
network-snapshot-000400.pkl,400,1.0,139.6235
network-snapshot-000600.pkl,600,0.1,176.7433
network-snapshot-000600.pkl,600,0.8,66.3325
network-snapshot-000600.pkl,600,0.85,65.5186
network-snapshot-000600.pkl,600,0.9,65.0119
network-snapshot-000600.pkl,600,0.95,64.7938
network-snapshot-000600.pkl,600,1.0,65.2547
network-snapshot-000800.pkl,800,0.1,123.8181
network-snapshot-000800.pkl,800,0.8,45.1697
network-snapshot-000800.pkl,800,0.85,44.5915
network-snapshot-000800.pkl,800,0.9,44.4026
network-snapshot-000800.pkl,800,0.95,44.2013
network-snapshot-000800.pkl,800,1.0,44.5353
network-snapshot-001000.pkl,1000,0.1,137.5925
network-snapshot-001000.pkl,1000,0.8,38.7262
network-snapshot-001000.pkl,1000,0.85,38.0430
network-snapshot-001000.pkl,1000,0.9,37.7995
network-snapshot-001000.pkl,1000,0.95,37.6617
network-snapshot-001000.pkl,1000,1.0,37.8873
