checkpoint,kimg,truncation_psi,FID
network-snapshot-000000.pkl,0,0.1,357.7269
network-snapshot-000000.pkl,0,0.8,317.4217
network-snapshot-000000.pkl,0,0.85,317.1077
network-snapshot-000000.pkl,0,0.9,317.2826
network-snapshot-000000.pkl,0,0.95,317.0379
network-snapshot-000000.pkl,0,1.0,316.7677
network-snapshot-000200.pkl,200,0.1,295.4527
network-snapshot-000200.pkl,200,0.8,250.5064
network-snapshot-000200.pkl,200,0.85,249.9721
network-snapshot-000200.pkl,200,0.9,250.2898
network-snapshot-000200.pkl,200,0.95,250.0205
network-snapshot-000200.pkl,200,1.0,250.2128
network-snapshot-000400.pkl,400,0.1,216.6226
network-snapshot-000400.pkl,400,0.8,144.7699
network-snapshot-000400.pkl,400,0.85,144.8840
network-snapshot-000400.pkl,400,0.9,145.7716
network-snapshot-000400.pkl,400,0.95,146.7763
network-snapshot-000400.pkl,400,1.0,148.6142
network-snapshot-000600.pkl,600,0.1,149.7410
network-snapshot-000600.pkl,600,0.8,110.3865
network-snapshot-000600.pkl,600,0.85,111.3343
network-snapshot-000600.pkl,600,0.9,112.4786
network-snapshot-000600.pkl,600,0.95,114.4354
network-snapshot-000600.pkl,600,1.0,116.1638
network-snapshot-000800.pkl,800,0.1,160.1429
network-snapshot-000800.pkl,800,0.8,99.7574
network-snapshot-000800.pkl,800,0.85,100.1325
network-snapshot-000800.pkl,800,0.9,100.8518
network-snapshot-000800.pkl,800,0.95,101.4150
network-snapshot-000800.pkl,800,1.0,102.1441
network-snapshot-001000.pkl,1000,0.1,155.8527
network-snapshot-001000.pkl,1000,0.8,93.9883
network-snapshot-001000.pkl,1000,0.85,93.7653
network-snapshot-001000.pkl,1000,0.9,94.4450
network-snapshot-001000.pkl,1000,0.95,95.6705
network-snapshot-001000.pkl,1000,1.0,96.5216
