epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.032109,0.003329,0.035438,0.012072,0.014165,0.0254,44.3
2,0.010476,0.002118,0.012594,0.009776,0.0122,0.0098,44.1
3,0.008989,0.003415,0.012405,0.00877,0.013736,0.0098,45.7
4,0.007946,0.004797,0.012742,0.007988,0.013773,0.0098,44.8
5,0.006964,0.003577,0.010541,0.007092,0.011037,0.0117,45.0
6,0.006768,0.003728,0.010496,0.007129,0.011061,0.0117,44.7
7,0.006823,0.003891,0.010714,0.006987,0.010617,0.0117,44.7
8,0.006596,0.00413,0.010726,0.006922,0.012959,0.0117,45.2
9,0.006021,0.003186,0.009207,0.005443,0.007656,0.0273,46.9
10,0.004667,0.001327,0.005995,0.004615,0.005714,0.0371,46.2
11,0.004264,0.000904,0.005168,0.004341,0.005213,0.043,46.4
12,0.004064,0.000768,0.004832,0.004167,0.00493,0.0469,45.6
13,0.003938,0.000672,0.004611,0.004097,0.004792,0.0469,45.4
14,0.003829,0.000623,0.004452,0.003952,0.004605,0.0488,44.6
15,0.003685,0.000588,0.004273,0.003811,0.004462,0.0547,45.0
16,0.00352,0.000561,0.004081,0.003662,0.004281,0.0625,45.1
17,0.003353,0.000526,0.003879,0.00344,0.004033,0.0645,45.2
18,0.00318,0.000552,0.003732,0.003278,0.003893,0.0684,45.0
19,0.003064,0.00056,0.003624,0.003185,0.003803,0.0684,45.3
20,0.002997,0.000562,0.003559,0.003172,0.003774,0.0723,44.5
21,0.002937,0.000548,0.003485,0.003069,0.003653,0.0723,46.9
22,0.002901,0.00054,0.003441,0.00304,0.003609,0.0762,45.5
23,0.00285,0.000528,0.003378,0.00299,0.003537,0.0781,45.0
24,0.002828,0.000517,0.003345,0.002965,0.003511,0.0801,45.1
25,0.002771,0.000514,0.003285,0.002916,0.003454,0.0859,45.4
26,0.002727,0.000509,0.003236,0.002896,0.00344,0.0918,46.0
27,0.002695,0.000558,0.003253,0.00288,0.003517,0.0957,46.1
28,0.002616,0.000672,0.003289,0.002753,0.003547,0.0957,44.6
29,0.002521,0.000754,0.003275,0.00265,0.003457,0.0957,45.5
30,0.00248,0.000783,0.003263,0.002614,0.003464,0.0957,44.9
31,0.002432,0.00078,0.003213,0.002541,0.003326,0.0996,44.8
32,0.002395,0.00075,0.003145,0.002496,0.003264,0.1055,45.0
33,0.002353,0.000721,0.003075,0.002504,0.003228,0.1094,45.0
34,0.002311,0.000692,0.003003,0.002404,0.003104,0.1172,44.7
35,0.002279,0.000668,0.002947,0.002429,0.003123,0.123,44.3
36,0.002245,0.000656,0.002901,0.002367,0.003033,0.125,44.1
37,0.002228,0.000644,0.002871,0.002322,0.002978,0.1289,45.9
38,0.002189,0.000633,0.002822,0.002301,0.002947,0.1328,44.5
39,0.002165,0.00061,0.002775,0.002264,0.002897,0.1367,45.7
40,0.002141,0.000596,0.002737,0.002261,0.002871,0.1406,45.1
41,0.00213,0.000586,0.002715,0.002223,0.002811,0.1445,44.5
42,0.002102,0.000578,0.002679,0.002209,0.002792,0.1504,44.8
43,0.002079,0.00056,0.002639,0.002184,0.002742,0.1543,45.3
44,0.002074,0.00055,0.002624,0.002175,0.002743,0.1602,44.4
45,0.002051,0.000542,0.002593,0.002156,0.002692,0.1641,44.8
46,0.00203,0.000525,0.002555,0.00214,0.002675,0.1699,44.5
47,0.002012,0.000514,0.002526,0.002115,0.002635,0.1797,44.8
48,0.001995,0.0005,0.002495,0.002102,0.00262,0.1855,45.0
49,0.001968,0.000486,0.002454,0.002073,0.002564,0.1934,44.6
50,0.001944,0.000473,0.002417,0.002059,0.002529,0.1992,45.2
51,0.001942,0.000466,0.002408,0.002045,0.002516,0.207,46.3
52,0.001909,0.000453,0.002362,0.002025,0.002491,0.2129,45.8
53,0.001902,0.000451,0.002353,0.00206,0.002525,0.2207,44.7
54,0.001869,0.000454,0.002323,0.001994,0.002467,0.2266,45.3
55,0.001859,0.000465,0.002324,0.001971,0.002461,0.2305,44.9
56,0.001835,0.000474,0.002309,0.001948,0.00244,0.2324,44.6
57,0.001822,0.000479,0.002301,0.00193,0.002432,0.2324,44.6
58,0.001812,0.000485,0.002297,0.001929,0.002424,0.2324,45.2
59,0.001799,0.000486,0.002285,0.001907,0.002407,0.2363,44.9
60,0.001787,0.000487,0.002275,0.001898,0.002393,0.2383,45.3
61,0.001782,0.000486,0.002268,0.001879,0.002381,0.2422,44.3
62,0.001762,0.000487,0.002249,0.001872,0.002371,0.2441,45.3
63,0.001759,0.000486,0.002246,0.001863,0.002368,0.2441,45.7
64,0.001752,0.000489,0.002241,0.001853,0.002354,0.248,45.9
65,0.001739,0.000488,0.002227,0.001843,0.002339,0.252,45.5
66,0.001731,0.000488,0.002219,0.00183,0.002335,0.2539,45.9
67,0.001717,0.000484,0.002201,0.001827,0.002323,0.2617,45.5
68,0.001716,0.000482,0.002198,0.001895,0.0024,0.2637,46.0
69,0.001709,0.000483,0.002192,0.00189,0.002381,0.2676,45.5
70,0.001699,0.000481,0.00218,0.001794,0.00228,0.2734,44.7
71,0.001684,0.000477,0.002161,0.001811,0.002308,0.2754,45.8
72,0.001673,0.000475,0.002148,0.001786,0.002271,0.2832,44.9
73,0.001665,0.000471,0.002136,0.001768,0.002258,0.2891,45.3
74,0.001657,0.000469,0.002125,0.001754,0.002231,0.2949,45.7
75,0.001654,0.000465,0.002119,0.001773,0.002254,0.3027,45.5
76,0.001634,0.000463,0.002097,0.001745,0.002217,0.3047,43.3
77,0.001627,0.000461,0.002088,0.001723,0.00219,0.3086,43.9
78,0.001619,0.000458,0.002077,0.001711,0.002176,0.3145,44.4
79,0.001614,0.000454,0.002067,0.001725,0.002197,0.3203,45.2
80,0.001606,0.000451,0.002057,0.001705,0.002161,0.3242,44.5
81,0.001589,0.000447,0.002036,0.001715,0.002169,0.3281,45.6
82,0.001591,0.000443,0.002034,0.001685,0.002139,0.332,45.1
83,0.00158,0.000442,0.002023,0.001684,0.002139,0.334,45.3
84,0.001577,0.00044,0.002016,0.001676,0.002131,0.3379,45.1
85,0.001567,0.000439,0.002006,0.001685,0.002136,0.3379,45.0
86,0.001564,0.000439,0.002003,0.001674,0.002127,0.3418,44.7
87,0.001552,0.000437,0.001989,0.001679,0.00213,0.3477,44.8
88,0.001555,0.000436,0.001991,0.001644,0.00209,0.3516,45.0
89,0.001545,0.000434,0.00198,0.001644,0.002092,0.3555,44.5
90,0.001546,0.000433,0.001979,0.001642,0.002093,0.3594,44.6
91,0.001534,0.000432,0.001965,0.001639,0.002084,0.3652,45.2
92,0.00153,0.00043,0.001959,0.001624,0.002067,0.3711,44.5
93,0.001528,0.000429,0.001957,0.001627,0.002065,0.375,45.0
94,0.00152,0.000427,0.001947,0.001621,0.002062,0.3789,45.4
95,0.001511,0.000426,0.001937,0.001615,0.002058,0.3828,45.6
96,0.001507,0.000426,0.001933,0.001606,0.002047,0.3867,46.2
97,0.001502,0.000426,0.001928,0.001603,0.002046,0.3906,46.3
98,0.001493,0.000426,0.001919,0.001594,0.002037,0.3965,45.6
99,0.001497,0.000425,0.001922,0.001638,0.002079,0.4043,45.7
100,0.001486,0.000424,0.001909,0.001593,0.002033,0.4082,45.2
101,0.001485,0.000423,0.001908,0.001581,0.002017,0.4121,45.5
102,0.001478,0.000423,0.001901,0.001575,0.002012,0.418,45.6
103,0.001476,0.000422,0.001898,0.00157,0.002001,0.4238,44.8
104,0.001472,0.000419,0.00189,0.001565,0.002006,0.4297,45.2
105,0.001458,0.000418,0.001876,0.001562,0.001994,0.4355,44.9
106,0.001459,0.000419,0.001878,0.001566,0.002001,0.4395,44.7
107,0.001453,0.000419,0.001872,0.00156,0.001995,0.4434,45.3
108,0.001446,0.000419,0.001865,0.001545,0.001979,0.4473,44.4
109,0.001444,0.000421,0.001865,0.001552,0.001988,0.4512,45.6
110,0.001439,0.000421,0.001861,0.001564,0.002004,0.457,45.3
111,0.00144,0.000423,0.001863,0.001536,0.001975,0.459,43.9
112,0.00143,0.000425,0.001855,0.001534,0.001977,0.4629,44.6
113,0.001429,0.000425,0.001854,0.001528,0.00197,0.4668,44.0
114,0.001421,0.000427,0.001848,0.001522,0.001968,0.4688,45.3
115,0.001422,0.00043,0.001852,0.001549,0.001997,0.4707,44.2
116,0.001416,0.000428,0.001844,0.001535,0.001979,0.4746,44.6
117,0.001413,0.000428,0.001841,0.001502,0.001947,0.4785,45.9
118,0.001406,0.000428,0.001834,0.00151,0.001959,0.4805,46.1
119,0.001406,0.000429,0.001835,0.001499,0.001945,0.4824,46.8
120,0.0014,0.00043,0.00183,0.001506,0.001954,0.4844,46.8
121,0.001402,0.000432,0.001833,0.00152,0.001963,0.4883,46.0
122,0.001398,0.000432,0.00183,0.001533,0.001981,0.4922,44.7
123,0.001393,0.000431,0.001824,0.0015,0.001946,0.4961,45.1
124,0.001391,0.000432,0.001823,0.001507,0.001953,0.5039,44.8
125,0.001386,0.000437,0.001822,0.001478,0.00194,0.5098,44.2
126,0.001393,0.000443,0.001836,0.001492,0.001958,0.5137,45.1
127,0.001379,0.000449,0.001828,0.001474,0.001942,0.5195,45.4
128,0.001373,0.000455,0.001828,0.001481,0.001958,0.5234,45.9
129,0.001371,0.000462,0.001833,0.001465,0.001947,0.5254,45.9
130,0.001371,0.000467,0.001838,0.001553,0.002042,0.5273,44.5
131,0.00137,0.000472,0.001842,0.001462,0.001957,0.5293,45.0
132,0.001363,0.00048,0.001843,0.001458,0.001961,0.5312,45.2
133,0.001363,0.000485,0.001848,0.001457,0.00196,0.5332,45.1
134,0.001364,0.000488,0.001853,0.001472,0.001997,0.5352,45.5
135,0.001364,0.000493,0.001857,0.001464,0.00198,0.5391,46.9
136,0.001357,0.000497,0.001853,0.001468,0.001991,0.5449,45.5
137,0.001361,0.000502,0.001863,0.001459,0.001982,0.5469,45.9
138,0.001352,0.000503,0.001855,0.001441,0.001966,0.5508,46.0
139,0.001362,0.000508,0.001869,0.001491,0.002049,0.5527,45.7
140,0.001351,0.000506,0.001857,0.001445,0.001978,0.5527,45.3
141,0.001342,0.00051,0.001852,0.001448,0.001979,0.5547,45.1
142,0.001343,0.000511,0.001854,0.001439,0.001975,0.5547,45.8
143,0.001348,0.000512,0.00186,0.00145,0.001978,0.5605,45.2
144,0.001357,0.000514,0.001871,0.00144,0.001969,0.5645,44.7
145,0.001337,0.000509,0.001846,0.001438,0.001976,0.5684,44.2
146,0.001336,0.000512,0.001848,0.001427,0.001958,0.5723,44.5
147,0.001339,0.000511,0.00185,0.001425,0.001959,0.5762,45.0
148,0.001332,0.000509,0.001841,0.001423,0.001959,0.582,45.2
149,0.001347,0.00051,0.001857,0.001446,0.001977,0.5859,44.4
