epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
88,0.001865,0.000613,0.002478,0.001982,0.002611,0.6484,45.3
89,0.001856,0.000614,0.00247,0.001997,0.002605,0.6562,45.3
90,0.001847,0.000614,0.002461,0.00195,0.002566,0.6641,46.1
91,0.001828,0.000611,0.002439,0.001932,0.002553,0.6719,47.5
92,0.001819,0.000612,0.002431,0.001918,0.002536,0.6797,46.9
93,0.001806,0.000606,0.002412,0.001913,0.00252,0.6875,46.6
94,0.001802,0.000605,0.002407,0.001902,0.002515,0.6953,47.5
95,0.001792,0.000607,0.002399,0.001892,0.002506,0.7031,47.4
96,0.00178,0.000604,0.002384,0.001879,0.002485,0.7109,48.1
97,0.001778,0.000607,0.002384,0.001942,0.002538,0.7188,47.0
98,0.001774,0.000595,0.00237,0.001902,0.002519,0.7188,46.8
99,0.001755,0.000595,0.002349,0.001889,0.002507,0.7266,47.0
100,0.001751,0.000593,0.002344,0.001878,0.002491,0.75,47.1
101,0.001743,0.000587,0.00233,0.001843,0.002438,0.7656,47.6
102,0.00173,0.000583,0.002313,0.001834,0.002428,0.7656,48.2
103,0.001729,0.00058,0.002309,0.001835,0.002425,0.7812,46.8
104,0.001729,0.000579,0.002308,0.001823,0.002417,0.7812,46.1
105,0.001715,0.000576,0.002291,0.001813,0.002404,0.7891,45.5
106,0.001714,0.000573,0.002287,0.001811,0.002399,0.8047,45.3
107,0.001696,0.00057,0.002266,0.001804,0.002385,0.8047,44.8
108,0.001696,0.000567,0.002262,0.001796,0.002381,0.8125,45.7
109,0.001689,0.000565,0.002254,0.001804,0.002382,0.8203,45.8
110,0.00169,0.000566,0.002256,0.001806,0.002389,0.8203,46.6
111,0.001683,0.000561,0.002244,0.001775,0.002343,0.8438,46.9
112,0.001668,0.000556,0.002224,0.001779,0.002345,0.8594,47.2
113,0.001665,0.000553,0.002218,0.001765,0.002341,0.8672,46.6
114,0.001658,0.000551,0.002209,0.001765,0.002328,0.875,47.0
115,0.001655,0.000542,0.002197,0.001745,0.002302,0.8828,46.9
116,0.001647,0.000537,0.002184,0.00176,0.002315,0.9062,46.9
117,0.001639,0.000533,0.002171,0.00176,0.002302,0.9141,46.2
118,0.001635,0.000527,0.002162,0.001749,0.002298,0.9219,47.0
119,0.001628,0.000526,0.002153,0.001738,0.002278,0.9375,46.5
120,0.001621,0.00052,0.002141,0.001723,0.00226,0.9531,45.3
121,0.001619,0.000515,0.002134,0.001711,0.002237,0.9609,44.6
122,0.001606,0.00051,0.002116,0.001702,0.002221,0.9922,45.1
123,0.001595,0.000501,0.002096,0.001701,0.002222,1.0,45.9
124,0.001598,0.000499,0.002097,0.001701,0.002219,1.0,45.8
125,0.001589,0.000497,0.002086,0.001698,0.00221,1.0,45.4
126,0.001585,0.000497,0.002081,0.001693,0.002214,1.0,44.6
127,0.001588,0.000498,0.002086,0.001696,0.00221,1.0,44.9
128,0.001581,0.000499,0.00208,0.001681,0.002192,1.0,44.7
129,0.001582,0.000499,0.002081,0.001683,0.002199,1.0,45.0
130,0.001583,0.000501,0.002084,0.001697,0.002218,1.0,45.3
131,0.001575,0.000501,0.002076,0.001692,0.002209,1.0,45.3
132,0.001571,0.0005,0.002071,0.001677,0.002196,1.0,45.4
133,0.001579,0.000501,0.00208,0.001713,0.002232,1.0,45.9
134,0.001568,0.000502,0.002069,0.001672,0.002197,1.0,45.5
135,0.001571,0.000503,0.002074,0.001668,0.002187,1.0,44.9
136,0.001565,0.000503,0.002068,0.001707,0.002227,1.0,45.5
137,0.001568,0.000503,0.002071,0.001674,0.002189,1.0,45.3
138,0.001561,0.000504,0.002065,0.001668,0.002195,1.0,44.3
139,0.001562,0.000505,0.002067,0.001679,0.002204,1.0,45.3
140,0.001561,0.000505,0.002066,0.001684,0.00221,1.0,45.7
141,0.001562,0.000506,0.002068,0.00167,0.002189,1.0,47.4
142,0.001556,0.000506,0.002063,0.001663,0.002177,1.0,46.0
143,0.001552,0.000505,0.002057,0.001665,0.002194,1.0,45.7
144,0.001557,0.000508,0.002065,0.001684,0.002207,1.0,45.6
145,0.001553,0.000507,0.00206,0.001664,0.002197,1.0,45.4
146,0.001553,0.000508,0.002061,0.001694,0.002218,1.0,47.1
147,0.00155,0.000508,0.002059,0.00166,0.002186,1.0,45.7
148,0.001546,0.000509,0.002054,0.001657,0.002188,1.0,46.0
149,0.001546,0.000508,0.002055,0.001652,0.002181,1.0,45.2
150,0.001546,0.00051,0.002055,0.001651,0.002179,1.0,45.3
151,0.001543,0.000511,0.002054,0.001653,0.002182,1.0,45.4
152,0.001542,0.00051,0.002052,0.001654,0.002181,1.0,43.9
153,0.001542,0.000511,0.002053,0.001678,0.002208,1.0,44.1
154,0.001547,0.000511,0.002058,0.00165,0.002179,1.0,44.7
155,0.00154,0.000512,0.002052,0.001658,0.002189,1.0,44.2
156,0.001539,0.000512,0.002051,0.001648,0.002176,1.0,45.1
157,0.001534,0.000511,0.002045,0.001653,0.002183,1.0,45.5
158,0.001537,0.000512,0.002048,0.001641,0.002165,1.0,44.8
159,0.001529,0.000511,0.00204,0.00164,0.002167,1.0,44.7
160,0.001534,0.000511,0.002045,0.001666,0.002194,1.0,46.5
161,0.001533,0.000512,0.002045,0.001635,0.002167,1.0,46.7
162,0.001537,0.000511,0.002049,0.001667,0.002199,1.0,46.5
163,0.001528,0.000512,0.00204,0.001639,0.002171,1.0,46.3
164,0.00153,0.000512,0.002042,0.001629,0.002157,1.0,45.8
165,0.001532,0.000513,0.002045,0.001634,0.002167,1.0,46.0
166,0.001524,0.000512,0.002037,0.001634,0.002169,1.0,46.8
167,0.001524,0.000514,0.002039,0.001631,0.002163,1.0,46.8
168,0.001523,0.000514,0.002037,0.001643,0.002173,1.0,45.1
169,0.001522,0.000513,0.002035,0.001627,0.002164,1.0,45.5
170,0.001524,0.000514,0.002038,0.001631,0.002163,1.0,45.5
171,0.001519,0.000515,0.002033,0.001629,0.002152,1.0,44.1
172,0.001518,0.000515,0.002032,0.001631,0.002165,1.0,43.6
173,0.001521,0.000516,0.002037,0.001628,0.002155,1.0,44.6
174,0.001518,0.000514,0.002032,0.001636,0.002168,1.0,44.6
175,0.00152,0.000515,0.002035,0.001627,0.002171,1.0,45.6
176,0.001515,0.000516,0.002031,0.00162,0.002148,1.0,46.1
177,0.001514,0.000515,0.002029,0.001626,0.002158,1.0,45.8
178,0.001516,0.000515,0.002031,0.001629,0.002171,1.0,45.6
179,0.001513,0.000517,0.00203,0.001618,0.002146,1.0,45.5
180,0.001512,0.000515,0.002027,0.00162,0.002153,1.0,46.9
181,0.001511,0.000516,0.002027,0.001611,0.002145,1.0,45.5
182,0.00151,0.000517,0.002027,0.001617,0.00215,1.0,45.1
183,0.001508,0.000515,0.002023,0.001611,0.002143,1.0,46.0
184,0.001509,0.000516,0.002025,0.001617,0.002149,1.0,45.2
185,0.001508,0.000516,0.002025,0.001617,0.002158,1.0,45.5
186,0.00151,0.000516,0.002026,0.001621,0.002159,1.0,44.8
187,0.001507,0.000518,0.002025,0.001608,0.002137,1.0,44.2
188,0.001503,0.000515,0.002018,0.001609,0.002139,1.0,44.5
189,0.001505,0.000516,0.002021,0.001643,0.002179,1.0,45.2
190,0.001503,0.000516,0.002019,0.001607,0.002139,1.0,45.6
191,0.001501,0.000516,0.002017,0.001616,0.00215,1.0,45.0
192,0.001502,0.000516,0.002018,0.001612,0.002147,1.0,44.6
193,0.001503,0.000516,0.002019,0.001621,0.002158,1.0,44.5
194,0.001501,0.000516,0.002017,0.001606,0.002142,1.0,44.2
195,0.001496,0.000516,0.002012,0.001604,0.002142,1.0,44.3
196,0.001502,0.000516,0.002017,0.00162,0.002152,1.0,45.6
197,0.001499,0.000517,0.002016,0.001618,0.00216,1.0,45.4
198,0.001495,0.000516,0.002011,0.001619,0.002149,1.0,45.8
199,0.001495,0.000516,0.00201,0.001596,0.002129,1.0,45.3
200,0.001495,0.000516,0.002011,0.001608,0.002139,1.0,45.4
