epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.033883,0.003874,0.037757,0.014278,0.019992,0.0254,60.8
2,0.012615,0.004107,0.016722,0.010852,0.013843,0.0078,44.9
3,0.009645,0.002392,0.012037,0.009612,0.012126,0.0078,44.9
4,0.008787,0.002884,0.011671,0.008612,0.01247,0.0098,45.3
5,0.007596,0.004395,0.011991,0.007833,0.012865,0.0098,44.8
6,0.007442,0.004717,0.012159,0.007874,0.013081,0.0098,45.6
7,0.007178,0.005168,0.012346,0.007688,0.013536,0.0098,45.5
8,0.006916,0.005388,0.012304,0.007641,0.01058,0.0137,45.5
9,0.006137,0.002933,0.00907,0.005845,0.00847,0.0176,44.8
10,0.005339,0.002225,0.007564,0.005343,0.007397,0.0234,44.5
11,0.004754,0.001427,0.006181,0.004936,0.006264,0.0254,44.5
12,0.004575,0.001274,0.00585,0.004788,0.006179,0.0254,46.0
13,0.004473,0.001314,0.005787,0.004752,0.006155,0.0254,45.1
14,0.004418,0.001297,0.005715,0.004525,0.005778,0.0273,44.8
15,0.004224,0.00116,0.005384,0.004388,0.005536,0.0293,44.4
16,0.004089,0.001038,0.005126,0.00416,0.005097,0.0371,44.1
17,0.003816,0.00082,0.004636,0.00387,0.00469,0.043,45.4
18,0.003547,0.000754,0.004301,0.003589,0.00436,0.0527,44.7
19,0.00336,0.000703,0.004063,0.003445,0.004173,0.0605,44.5
20,0.003216,0.000679,0.003895,0.003346,0.004086,0.0625,44.5
21,0.003112,0.000664,0.003776,0.003239,0.003924,0.0645,45.7
22,0.003033,0.00064,0.003673,0.003168,0.003876,0.0664,44.3
23,0.002967,0.000615,0.003581,0.003078,0.003715,0.0684,44.5
24,0.002945,0.000587,0.003532,0.00306,0.003679,0.0684,43.9
25,0.002895,0.000571,0.003466,0.003028,0.003631,0.0684,45.2
26,0.002867,0.000569,0.003435,0.003021,0.003621,0.0684,44.8
27,0.002835,0.000563,0.003398,0.002981,0.003577,0.0703,43.7
28,0.00281,0.000564,0.003374,0.002953,0.003558,0.0723,44.2
29,0.002794,0.000562,0.003356,0.002959,0.003561,0.0742,43.9
30,0.002768,0.000549,0.003317,0.002911,0.003481,0.0762,44.5
31,0.00273,0.000539,0.003268,0.002864,0.003416,0.0781,44.0
32,0.002708,0.000543,0.003252,0.00286,0.003431,0.0801,46.1
33,0.00264,0.000623,0.003264,0.002726,0.003463,0.082,45.9
34,0.002548,0.000709,0.003258,0.002652,0.003425,0.084,45.2
35,0.002499,0.000743,0.003243,0.002626,0.003462,0.084,45.7
36,0.002456,0.000764,0.00322,0.002572,0.003404,0.0859,45.9
37,0.002451,0.000803,0.003253,0.002533,0.00336,0.0879,45.5
38,0.002407,0.00081,0.003217,0.002514,0.003352,0.0898,45.5
39,0.002372,0.000818,0.003191,0.002482,0.003382,0.0918,45.0
40,0.002347,0.000814,0.00316,0.002452,0.003282,0.0918,45.6
41,0.002324,0.000813,0.003137,0.002455,0.003267,0.0938,45.1
42,0.002317,0.000818,0.003135,0.00244,0.003277,0.0938,46.8
43,0.002291,0.000817,0.003108,0.002419,0.003233,0.0938,44.8
44,0.002276,0.000819,0.003095,0.0024,0.003252,0.0957,45.2
45,0.002279,0.0008,0.003079,0.002385,0.003156,0.0996,46.0
46,0.002246,0.000754,0.003,0.002461,0.003275,0.1016,45.8
47,0.002234,0.000748,0.002982,0.002384,0.003174,0.1055,46.4
48,0.002212,0.000735,0.002948,0.002334,0.003084,0.1055,45.9
49,0.002204,0.000728,0.002932,0.002308,0.003043,0.1074,45.4
50,0.002173,0.000709,0.002882,0.002308,0.003023,0.1113,46.0
51,0.002161,0.000704,0.002866,0.002274,0.002996,0.1113,47.4
52,0.002146,0.000697,0.002843,0.002343,0.003055,0.1133,45.8
53,0.002143,0.000692,0.002835,0.002248,0.002947,0.1172,45.5
54,0.002111,0.000678,0.002788,0.002254,0.002948,0.1172,46.1
55,0.002103,0.000677,0.002781,0.00224,0.002928,0.1191,45.8
56,0.002087,0.000669,0.002756,0.002227,0.002912,0.1211,46.0
57,0.002093,0.00066,0.002753,0.002218,0.002888,0.123,45.9
58,0.002074,0.000646,0.00272,0.002178,0.002837,0.127,44.7
