epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.034549,0.004136,0.038686,0.012876,0.015055,0.0312,46.6
2,0.010822,0.00219,0.013012,0.010288,0.012586,0.0156,46.8
3,0.009577,0.002716,0.012293,0.009731,0.012725,0.0156,46.4
4,0.009107,0.003336,0.012443,0.009444,0.013212,0.0156,46.1
5,0.008858,0.003578,0.012436,0.009095,0.012754,0.0156,45.2
6,0.008659,0.003786,0.012445,0.008918,0.012861,0.0156,45.6
7,0.008508,0.003872,0.012379,0.008765,0.012749,0.0156,44.7
8,0.00771,0.004104,0.011814,0.007519,0.01245,0.0234,44.9
9,0.005838,0.002901,0.008739,0.005419,0.007768,0.0508,47.3
10,0.00469,0.00137,0.00606,0.004644,0.005902,0.0703,45.5
11,0.004305,0.001026,0.005331,0.004579,0.005729,0.0703,46.0
12,0.004198,0.000951,0.005149,0.004308,0.005254,0.0703,47.2
13,0.004093,0.000884,0.004977,0.004238,0.005161,0.0742,47.5
14,0.004013,0.000848,0.004861,0.004151,0.00503,0.0742,47.8
15,0.003958,0.000848,0.004806,0.004089,0.005006,0.0742,47.6
16,0.0039,0.000864,0.004764,0.004029,0.004963,0.0781,46.3
17,0.003738,0.000858,0.004597,0.003825,0.004678,0.0977,44.9
18,0.003507,0.000766,0.004273,0.003618,0.004346,0.1172,45.1
19,0.003289,0.000662,0.003951,0.003387,0.004056,0.1289,44.3
20,0.003165,0.00063,0.003795,0.003333,0.004,0.1328,44.8
21,0.003076,0.000607,0.003683,0.003199,0.003827,0.1445,44.9
22,0.002968,0.00058,0.003548,0.00314,0.003734,0.1602,46.2
23,0.002895,0.000554,0.003449,0.003036,0.003614,0.1836,45.6
24,0.002832,0.00054,0.003372,0.002976,0.00354,0.1953,45.2
25,0.00277,0.000554,0.003324,0.002902,0.003511,0.2109,45.4
26,0.002663,0.000666,0.003329,0.002734,0.003482,0.2148,45.4
27,0.00255,0.000712,0.003262,0.002705,0.003466,0.2148,45.0
28,0.002503,0.000747,0.00325,0.002617,0.003402,0.2148,46.1
29,0.002475,0.000775,0.00325,0.002587,0.00338,0.2148,45.0
30,0.002452,0.000778,0.00323,0.002583,0.003383,0.2148,46.3
31,0.002403,0.000769,0.003173,0.002525,0.003308,0.2148,45.1
32,0.002377,0.000755,0.003131,0.002473,0.00323,0.2148,45.5
33,0.002353,0.000744,0.003097,0.002471,0.003248,0.2148,45.1
34,0.002343,0.00075,0.003093,0.002482,0.003259,0.2148,45.0
35,0.00232,0.000759,0.003078,0.002455,0.003237,0.2148,45.9
36,0.002306,0.000755,0.003062,0.002413,0.003194,0.2148,45.6
37,0.002301,0.00076,0.003061,0.00243,0.003204,0.2148,45.3
38,0.002279,0.000762,0.003041,0.002389,0.00316,0.2148,45.6
39,0.002276,0.000766,0.003042,0.002403,0.003191,0.2148,45.6
40,0.002268,0.000773,0.003041,0.002412,0.003193,0.2148,46.2
41,0.002243,0.000774,0.003017,0.002367,0.00317,0.2148,46.3
42,0.002238,0.000782,0.00302,0.002356,0.003162,0.2148,45.6
43,0.002224,0.000783,0.003007,0.002351,0.00316,0.2148,45.3
44,0.002216,0.000786,0.003002,0.002342,0.003138,0.2188,45.8
45,0.002204,0.000757,0.002961,0.002321,0.003088,0.2266,46.3
46,0.00219,0.000743,0.002933,0.002364,0.00314,0.2305,46.6
47,0.002186,0.000748,0.002934,0.002313,0.003065,0.2305,46.6
48,0.002176,0.000748,0.002923,0.002304,0.003093,0.2305,47.4
49,0.002151,0.000742,0.002893,0.002262,0.003005,0.2383,49.4
50,0.002135,0.000722,0.002856,0.002249,0.002969,0.2539,46.9
51,0.002122,0.000689,0.002812,0.002228,0.002937,0.2578,47.1
52,0.002105,0.000671,0.002776,0.002233,0.002912,0.2695,46.7
53,0.00209,0.000649,0.002739,0.002174,0.002827,0.2852,47.1
54,0.002058,0.000625,0.002683,0.00217,0.002797,0.2969,47.1
