epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.035156,0.003732,0.038888,0.012403,0.01432,0.0312,45.2
2,0.010594,0.001942,0.012535,0.010134,0.012266,0.0156,45.8
3,0.009414,0.002424,0.011838,0.009498,0.012102,0.0156,45.0
4,0.008969,0.002916,0.011885,0.009296,0.012922,0.0156,44.8
5,0.008739,0.003264,0.012003,0.009006,0.01249,0.0156,44.6
6,0.008574,0.003548,0.012122,0.008839,0.01253,0.0156,44.6
7,0.008453,0.003645,0.012098,0.008769,0.012603,0.0156,44.4
8,0.008057,0.003778,0.011835,0.008213,0.01237,0.0234,44.1
9,0.006261,0.002993,0.009254,0.005941,0.008758,0.0312,43.8
10,0.005264,0.002149,0.007413,0.005135,0.007267,0.043,44.5
11,0.00479,0.001597,0.006387,0.004891,0.006663,0.0508,44.3
12,0.004598,0.001392,0.00599,0.004718,0.006163,0.0508,45.2
13,0.004485,0.001318,0.005803,0.004652,0.006198,0.0508,43.7
14,0.004338,0.001214,0.005551,0.004366,0.005519,0.0625,44.1
15,0.004126,0.000992,0.005118,0.004223,0.005204,0.0703,44.8
16,0.00402,0.000906,0.004926,0.004166,0.005096,0.0742,45.0
17,0.003941,0.000852,0.004793,0.004123,0.005015,0.0742,45.5
18,0.003878,0.000817,0.004695,0.004091,0.00493,0.0781,44.2
19,0.003848,0.000812,0.00466,0.004001,0.004879,0.082,44.9
20,0.003763,0.000766,0.004529,0.003907,0.004716,0.0898,45.5
21,0.003685,0.000703,0.004388,0.003865,0.004563,0.1016,44.5
22,0.003539,0.000613,0.004152,0.003697,0.004318,0.1211,44.0
23,0.003337,0.000554,0.003891,0.003449,0.004038,0.1562,45.2
24,0.003128,0.000489,0.003617,0.003361,0.003869,0.1719,44.5
25,0.003009,0.000459,0.003468,0.003138,0.003615,0.1836,45.3
26,0.002906,0.000446,0.003352,0.003017,0.003503,0.1992,43.7
27,0.002811,0.000437,0.003248,0.002957,0.003403,0.2031,45.3
28,0.002766,0.000428,0.003195,0.002948,0.003402,0.207,43.9
29,0.002719,0.00043,0.003149,0.002891,0.003332,0.2188,43.9
30,0.002685,0.000438,0.003123,0.002863,0.003326,0.2227,44.7
31,0.002642,0.000485,0.003127,0.002738,0.003322,0.2305,45.0
32,0.002529,0.000637,0.003166,0.002595,0.003285,0.2305,44.9
33,0.002455,0.000671,0.003126,0.002561,0.003261,0.2305,44.5
34,0.002411,0.000691,0.003103,0.002531,0.003248,0.2305,44.0
35,0.002367,0.000689,0.003056,0.002492,0.003231,0.2305,45.0
36,0.002349,0.000682,0.003032,0.002516,0.003227,0.2305,45.5
37,0.00232,0.000684,0.003004,0.002452,0.003152,0.2305,44.6
38,0.002309,0.000689,0.002998,0.002437,0.003142,0.2305,45.9
39,0.002289,0.000696,0.002985,0.002421,0.003136,0.2305,45.0
40,0.002265,0.000701,0.002966,0.002394,0.003105,0.2305,45.0
41,0.002256,0.000703,0.002959,0.00238,0.003098,0.2305,44.6
42,0.002242,0.000709,0.00295,0.002436,0.003149,0.2305,44.1
43,0.002233,0.000711,0.002945,0.002367,0.003095,0.2305,44.2
44,0.002216,0.000715,0.002931,0.002328,0.003066,0.2305,44.8
45,0.002207,0.000718,0.002925,0.002354,0.003098,0.2305,44.9
46,0.002198,0.000727,0.002925,0.002303,0.003047,0.2305,44.4
47,0.002184,0.000729,0.002914,0.002286,0.00301,0.2305,45.4
48,0.002171,0.000729,0.002901,0.002304,0.003045,0.2305,44.2
49,0.00216,0.000734,0.002894,0.002277,0.003008,0.2305,45.1
50,0.002152,0.000739,0.002891,0.002278,0.003024,0.2305,45.4
51,0.002147,0.000739,0.002886,0.002278,0.003029,0.2305,45.2
52,0.002143,0.000739,0.002882,0.002266,0.003036,0.2305,45.1
53,0.002127,0.000742,0.002869,0.002231,0.002971,0.2305,44.6
54,0.002137,0.000744,0.002881,0.002249,0.003006,0.2305,44.4
55,0.002124,0.000744,0.002868,0.002235,0.002949,0.2344,44.0
56,0.0021,0.000735,0.002834,0.002225,0.00297,0.2344,44.3
57,0.002096,0.000733,0.002828,0.002258,0.003,0.2383,45.3
58,0.002086,0.000725,0.002811,0.002215,0.002927,0.2383,45.0
59,0.002084,0.000727,0.00281,0.002191,0.002912,0.2383,44.6
60,0.00207,0.000721,0.002791,0.002174,0.00291,0.2422,44.7
61,0.002081,0.000711,0.002792,0.002224,0.002945,0.2461,44.4
62,0.002067,0.000703,0.00277,0.002176,0.002882,0.25,44.4
63,0.002056,0.000681,0.002737,0.002182,0.002869,0.2578,43.5
64,0.002048,0.000673,0.002721,0.002196,0.002872,0.2656,44.2
65,0.002029,0.00066,0.002689,0.002142,0.00281,0.2695,43.8
66,0.002025,0.000648,0.002673,0.002122,0.00277,0.2734,44.6
67,0.002,0.000639,0.002639,0.00212,0.002775,0.2773,44.3
68,0.002003,0.000639,0.002643,0.002109,0.002747,0.2812,45.0
69,0.001989,0.000631,0.00262,0.002103,0.002769,0.2852,44.4
70,0.001979,0.000632,0.002611,0.002097,0.002744,0.2891,44.9
71,0.001982,0.000632,0.002614,0.002077,0.002703,0.2891,45.2
72,0.001962,0.000634,0.002596,0.002078,0.002728,0.2852,45.7
73,0.001961,0.000637,0.002598,0.002059,0.002697,0.2891,47.4
74,0.001944,0.000643,0.002586,0.002051,0.0027,0.2891,45.1
75,0.001941,0.000655,0.002596,0.002053,0.002726,0.2891,44.5
76,0.001924,0.00067,0.002594,0.002042,0.002711,0.2891,44.8
77,0.001925,0.000679,0.002603,0.002033,0.00271,0.2891,45.0
78,0.001917,0.000682,0.002598,0.00202,0.00271,0.2891,44.2
79,0.001922,0.000691,0.002613,0.002026,0.002721,0.2891,43.7
80,0.001903,0.000694,0.002597,0.002031,0.002753,0.2891,45.5
81,0.001906,0.000699,0.002605,0.002006,0.002695,0.2891,45.4
