beta,K,FID
0.5,128,219.9496
0.5,256,216.1280
0.5,512,220.3362
1.0,128,220.1409
1.0,256,223.7967
1.0,512,216.0323
1.5,128,221.7970
1.5,256,217.6966
1.5,512,220.4286
