epoch,train_ce,val_ce,epoch_time_sec
1,3.970329,3.716858,42.4
2,3.637329,3.512703,40.4
3,3.481558,3.420227,40.3
4,3.426528,3.376403,40.7
5,3.390668,3.342562,41.2
6,3.357307,3.313305,40.4
7,3.329569,3.286743,40.2
8,3.302088,3.258704,40.3
9,3.271733,3.221913,40.3
10,3.233087,3.170098,40.2
11,3.186405,3.12032,40.3
12,3.146502,3.085542,40.4
13,3.116574,3.06543,40.2
14,3.092522,3.049285,40.1
15,3.073114,3.034672,40.4
16,3.055895,3.026899,40.1
17,3.040872,3.015696,40.2
18,3.030059,3.019031,40.4
19,3.018473,3.002666,40.2
20,3.007649,2.998121,40.1
21,2.999461,2.992898,40.4
22,2.99102,2.990728,40.1
23,2.983398,2.986704,40.2
24,2.977253,2.984743,40.6
25,2.969367,2.982106,40.1
26,2.963281,2.976728,40.1
27,2.956932,2.978431,40.4
28,2.95135,2.975215,40.2
29,2.945196,2.972819,40.4
30,2.939814,2.976386,40.2
31,2.933492,2.971702,40.1
32,2.928287,2.971533,40.3
33,2.923363,2.972408,40.3
34,2.918992,2.969203,40.2
35,2.913281,2.968535,40.1
36,2.908669,2.973639,40.2
37,2.904144,2.969396,40.3
38,2.898809,2.970956,40.4
39,2.895509,2.970625,40.1
40,2.890668,2.971227,40.1
41,2.886154,2.969695,40.7
42,2.881778,2.973133,40.2
43,2.87858,2.97291,40.2
44,2.874415,2.973586,40.3
45,2.870418,2.975217,40.2
