epoch,train_ce,val_ce,epoch_time_sec
1,3.947005,3.714093,40.5
2,3.628831,3.528994,40.3
3,3.50185,3.445925,40.2
4,3.44478,3.393773,40.3
5,3.404188,3.359488,40.3
6,3.376058,3.335792,40.4
7,3.351648,3.317362,40.3
8,3.328086,3.28245,40.4
9,3.302132,3.265774,40.3
10,3.274704,3.222721,40.3
11,3.244184,3.19098,40.3
12,3.204684,3.140455,40.3
13,3.164802,3.10569,40.4
14,3.132829,3.089669,40.3
15,3.109077,3.065268,40.5
16,3.088825,3.051613,40.5
17,3.071006,3.040523,40.3
18,3.056703,3.031924,40.4
19,3.045045,3.02969,40.4
20,3.03348,3.020972,40.3
21,3.023782,3.015604,40.5
22,3.014105,3.009616,40.3
23,3.00597,3.008345,40.4
24,2.997859,3.001977,40.3
25,2.990027,2.999357,40.2
26,2.983584,2.998066,40.3
27,2.976357,2.997338,40.3
28,2.968931,2.995346,40.3
29,2.96332,2.992148,40.5
30,2.956485,2.99102,40.3
31,2.950725,2.988998,40.3
32,2.945457,2.991068,40.2
33,2.938523,2.987232,40.3
34,2.933366,2.988586,40.3
35,2.92813,2.989046,40.2
36,2.922971,2.991641,40.5
37,2.918435,2.990265,40.2
38,2.912986,2.992902,40.3
39,2.909138,2.990071,40.3
40,2.903767,2.997504,40.3
41,2.899934,2.9908,40.2
42,2.895287,2.993485,40.3
43,2.891567,2.993742,40.3
