epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-48.192905,-13.345616,66.365404,1.81725,98.3
2,-13.157054,-0.173149,14.191871,0.103482,98.7
3,-10.168071,3.134091,10.732263,0.056419,93.9
4,-10.27182,4.678501,10.864891,0.059307,95.6
5,-11.823377,3.484597,12.693643,0.087027,126.8
6,-10.152792,2.477539,10.837097,0.068431,100.9
7,-9.45237,3.032942,10.095752,0.064338,97.2
8,-9.737946,3.23835,10.48214,0.074419,93.0
9,-9.807696,3.09603,10.612589,0.080489,99.6
10,-9.647318,3.507395,10.411625,0.076431,116.1
11,-9.255086,3.6714,10.027893,0.077281,94.1
12,-8.604318,3.051105,9.246908,0.064259,94.3
13,-8.574857,3.2912,9.206666,0.063181,98.1
14,-8.62938,3.440969,9.297254,0.066787,98.5
15,-8.583342,2.838051,9.250084,0.066674,99.6
16,-8.475522,2.602882,9.138184,0.066266,97.5
17,-8.368964,2.737746,9.04948,0.068052,115.7
18,-8.341518,2.257458,9.023816,0.06823,99.6
19,-8.302448,2.781321,8.984148,0.06817,96.5
20,-8.115905,2.091807,8.769687,0.065378,98.8
21,-7.996137,1.901253,8.641117,0.064498,97.5
22,-7.973942,2.217652,8.610614,0.063667,95.0
23,-7.850345,2.284995,8.48965,0.063931,106.6
24,-7.711929,2.229169,8.327239,0.061531,101.2
25,-7.720275,2.220228,8.337538,0.061726,97.9
26,-7.68587,1.499913,8.29639,0.061052,100.2
27,-7.724432,1.968744,8.341496,0.061706,93.3
28,-7.75133,2.173181,8.37324,0.062191,119.2
29,-7.769823,1.780801,8.387451,0.061763,96.9
30,-7.779377,1.937537,8.425671,0.064629,95.3
31,-7.768052,1.658427,8.396991,0.062894,94.9
32,-7.749787,1.718559,8.390424,0.064064,95.9
33,-7.697606,1.917275,8.348679,0.065107,94.6
34,-7.729207,1.525021,8.347958,0.061875,98.4
35,-7.579679,1.885552,8.187663,0.060798,102.8
36,-7.552941,1.548126,8.176042,0.06231,99.5
37,-7.62773,1.198348,8.245124,0.061739,95.0
38,-7.703168,1.890749,8.336985,0.063382,93.2
39,-7.717929,1.164566,8.352,0.063407,98.2
40,-7.647798,1.404133,8.25151,0.060371,133.8
41,-7.635431,1.505679,8.25888,0.062345,98.2
42,-7.775628,1.460594,8.434324,0.06587,100.6
43,-7.741164,1.703137,8.378697,0.063753,97.0
44,-7.834007,1.272733,8.485219,0.065121,96.6
45,-7.894957,1.307087,8.554004,0.065905,95.0
46,-7.898875,1.406645,8.572449,0.067357,95.3
47,-7.969161,1.278856,8.646443,0.067728,95.3
48,-7.913247,1.169749,8.589167,0.067592,96.8
49,-8.011882,1.308439,8.707206,0.069532,94.5
50,-8.151016,1.128508,8.865496,0.071448,94.7
