epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-58.512856,-25.55345,81.08091,4.513611,102.7
2,-18.281008,3.465251,20.761671,0.496132,95.6
3,-18.984417,6.235471,21.868396,0.576796,96.7
4,-18.028547,2.717174,20.938567,0.582004,95.2
5,-14.976551,6.785342,17.171585,0.439007,105.0
6,-14.00882,7.240813,16.070425,0.412321,96.6
7,-13.722437,5.848616,15.854978,0.426508,99.7
8,-13.566992,6.542189,15.790133,0.444628,98.4
9,-13.273288,5.730644,15.463934,0.438129,98.4
10,-12.95932,5.827489,15.08081,0.424298,98.2
11,-12.581141,4.979406,14.630481,0.409868,95.3
12,-12.311549,5.20903,14.365137,0.410718,96.2
13,-12.344678,4.814421,14.451732,0.421411,103.1
14,-12.187045,3.948445,14.255213,0.413634,98.7
15,-11.935901,4.075118,13.938274,0.400475,98.7
16,-11.423245,3.564146,13.31159,0.377669,99.2
17,-11.250975,2.923933,13.085577,0.36692,98.1
18,-11.237292,3.112381,13.113096,0.375161,94.9
19,-11.388505,3.07422,13.356145,0.393528,101.3
20,-11.317123,2.7972,13.234333,0.383442,95.2
21,-10.925484,3.590872,12.780092,0.370922,96.7
22,-10.794762,3.062326,12.595404,0.360128,96.9
23,-10.863176,3.047362,12.710722,0.369509,97.3
24,-10.608025,2.808536,12.375433,0.353482,96.1
25,-10.513893,2.675708,12.202636,0.337749,97.9
26,-10.160731,2.261121,11.833884,0.334631,100.1
27,-10.229129,2.664868,11.871439,0.328462,98.6
28,-10.245279,2.449937,11.887226,0.328389,114.1
29,-9.930015,2.485402,11.475307,0.309058,95.9
30,-9.9786,2.292007,11.520212,0.308322,97.5
31,-10.014801,1.503814,11.572695,0.311579,94.8
32,-10.131406,1.908252,11.768055,0.32733,96.6
33,-10.102844,1.622184,11.69514,0.318459,99.5
34,-10.059907,2.149508,11.64978,0.317975,94.4
35,-9.948679,1.761546,11.535552,0.317375,97.1
36,-10.049862,1.97202,11.661466,0.322321,97.5
37,-9.772474,2.135505,11.309852,0.307476,95.7
38,-10.050277,2.111287,11.669664,0.323877,95.1
39,-9.86157,1.750352,11.444058,0.316498,96.9
40,-10.007795,1.945652,11.648698,0.328181,98.2
41,-9.895784,1.087851,11.470722,0.314988,94.8
42,-9.873412,1.605706,11.473847,0.320087,99.1
43,-9.807845,1.451681,11.388368,0.316105,95.9
44,-9.966174,1.55458,11.554,0.317565,121.4
45,-10.075194,1.484989,11.744604,0.333882,99.4
46,-9.958209,1.652257,11.589449,0.326248,96.2
47,-9.946948,1.58551,11.544208,0.319452,98.7
48,-10.071628,1.422685,11.723242,0.330323,97.2
49,-10.089993,1.563542,11.743339,0.330669,93.5
50,-10.255929,2.010709,11.974604,0.343735,99.8
