epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-79.96813,-24.238146,118.953193,7.797012,95.7
2,-32.813466,3.647662,40.838362,1.604979,97.6
3,-29.84609,9.09982,36.787528,1.388288,97.5
4,-28.076575,10.290582,34.670683,1.318822,96.3
5,-25.361435,10.507066,30.847869,1.097287,97.8
6,-23.95289,8.805862,29.1337,1.036162,97.8
7,-22.274228,6.893606,27.082106,0.961576,100.0
8,-20.177996,5.798808,24.379635,0.840328,98.2
9,-19.228217,4.990573,22.962798,0.746916,128.8
10,-19.342329,6.24,23.028031,0.73714,100.1
11,-19.091803,5.975277,22.809338,0.743507,99.4
12,-19.006327,5.303957,22.800171,0.758769,98.4
13,-18.546647,5.123893,22.182661,0.727203,96.4
14,-18.108335,5.049303,21.654942,0.709321,99.7
15,-17.962716,5.137157,21.492085,0.705874,98.0
16,-17.454738,4.088462,20.842455,0.677543,98.8
17,-17.114342,3.229868,20.519736,0.681079,99.1
18,-16.80656,3.341699,19.971743,0.633037,97.0
19,-16.748032,3.565353,19.963378,0.643069,97.2
20,-17.203161,4.130082,20.568501,0.673068,99.1
21,-16.809396,3.656082,19.981954,0.634512,97.8
22,-16.6604,3.499989,19.846958,0.637312,100.1
23,-16.483381,3.978865,19.669093,0.637142,97.3
24,-16.601974,3.850486,19.750266,0.629658,100.0
25,-16.001036,3.59575,19.047728,0.609338,99.6
26,-15.929029,3.019354,19.013995,0.616993,97.0
27,-16.240955,4.110596,19.43609,0.639027,97.4
28,-16.015223,3.556591,19.003994,0.597754,97.2
29,-16.155769,3.535437,19.231363,0.615119,97.9
30,-15.950567,2.501436,19.03106,0.616099,132.8
31,-16.154111,3.913791,19.316243,0.632426,96.8
32,-16.047008,2.698718,19.202237,0.631046,100.8
33,-15.682789,2.571979,18.69924,0.60329,100.0
34,-15.731085,3.500565,18.791756,0.612134,101.0
35,-16.097061,2.721581,19.291253,0.638838,96.7
36,-15.937128,3.636831,19.1117,0.634914,98.3
37,-15.759449,3.600591,18.79286,0.606682,97.8
38,-15.638782,2.647063,18.723271,0.616898,99.7
39,-15.332031,2.892265,18.303118,0.594217,101.9
40,-15.281246,2.710727,18.204651,0.584681,111.9
41,-15.338795,2.657671,18.38382,0.609005,98.1
42,-15.388148,3.304277,18.445824,0.611535,99.3
43,-15.479941,3.509994,18.560534,0.616119,95.2
44,-15.455431,2.226516,18.464458,0.601805,98.1
45,-15.58836,3.022392,18.6899,0.620308,97.3
46,-15.342647,2.394519,18.345733,0.600617,99.8
47,-15.233658,2.753835,18.198585,0.592985,101.4
48,-15.45324,2.199645,18.563285,0.622009,97.7
49,-15.277508,3.086766,18.29769,0.604036,96.0
50,-15.361403,2.3577,18.378983,0.603516,97.4
