epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-80.464204,-7.605875,117.395161,3.693096,101.5
2,-38.171186,5.183324,48.105957,0.993477,100.0
3,-33.609364,6.287372,42.232532,0.862317,99.3
4,-31.907004,4.738056,39.877388,0.797038,102.3
5,-30.130504,4.316795,37.467059,0.733655,99.3
6,-28.816104,2.912775,35.655232,0.683913,104.4
7,-27.369783,3.169275,33.710601,0.634082,102.7
8,-26.410907,1.962544,32.395491,0.598458,97.9
9,-25.809342,2.604317,31.512915,0.570357,103.9
10,-25.005146,2.779471,30.585187,0.558004,100.8
11,-24.688221,2.465335,30.358485,0.567026,124.8
12,-24.198278,3.357879,29.437199,0.523892,103.8
13,-23.692012,3.076845,28.764477,0.507247,100.2
14,-24.099968,3.441966,29.331892,0.523192,101.3
15,-23.384238,3.061075,28.364677,0.498044,99.7
16,-23.257943,2.897457,28.130096,0.487215,101.6
17,-23.083643,2.866691,28.002541,0.49189,103.5
18,-22.404697,2.941228,27.115865,0.471117,103.7
19,-22.644457,2.771959,27.414317,0.476986,102.6
20,-22.496142,2.561987,26.982263,0.448612,112.0
21,-22.2745,2.717959,26.861528,0.458703,103.4
22,-22.316122,2.760264,26.870543,0.455442,105.8
23,-21.753576,2.691936,26.064989,0.431141,103.0
24,-21.615796,2.333512,25.967386,0.435159,103.1
25,-21.690237,2.59665,26.015214,0.432498,103.9
26,-21.171907,2.474754,25.45117,0.427926,109.4
27,-21.465456,2.267493,25.572627,0.410717,101.7
28,-21.224247,2.557541,25.298077,0.407383,101.3
29,-21.706242,2.371566,25.953626,0.424738,103.0
30,-21.016507,2.464447,25.147537,0.413103,104.3
31,-20.975368,3.191136,25.111264,0.41359,99.0
32,-21.303492,2.122358,25.452027,0.414853,101.3
33,-20.872019,2.364386,24.9187,0.404668,104.6
34,-20.632804,2.524564,24.544229,0.391143,103.1
35,-21.168287,2.627069,25.281247,0.411296,103.6
36,-21.173292,2.08254,25.34486,0.417157,103.9
37,-21.069357,2.681423,25.117988,0.404863,104.3
38,-21.135836,2.187744,25.255339,0.41195,104.3
39,-21.028399,2.837869,25.02865,0.400025,103.2
40,-21.131428,1.954489,25.191784,0.406036,99.5
41,-21.232789,2.748162,25.174901,0.394211,118.9
42,-20.978983,2.630374,24.919575,0.394059,103.1
43,-20.7988,2.282159,24.809432,0.401063,101.6
44,-21.160328,2.06263,25.214062,0.405373,103.3
45,-20.974502,2.045752,24.955567,0.398107,103.3
46,-21.458058,1.931709,25.554742,0.409668,104.2
47,-21.377788,1.993466,25.500749,0.412296,102.3
48,-21.23761,2.167698,25.195783,0.395817,103.1
49,-21.655712,1.867066,25.753847,0.409813,104.1
50,-21.130202,2.481423,25.159502,0.40293,99.8
