epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-40.661402,-14.187923,51.485051,0.721577,97.7
2,-20.26093,-0.714083,22.643237,0.15882,97.9
3,-19.083711,3.353813,21.263593,0.145325,98.8
4,-17.670295,3.575335,19.665079,0.132986,98.3
5,-17.490988,3.950647,19.578238,0.13915,97.6
6,-16.820819,3.757001,18.723796,0.126865,97.3
7,-14.77176,1.772983,16.157376,0.092374,96.6
8,-13.638404,1.995488,14.829379,0.079398,95.7
9,-13.932908,2.255493,15.191684,0.083918,99.1
10,-13.927251,1.835936,15.157074,0.081988,98.5
11,-13.615408,2.179824,14.818188,0.080185,120.1
12,-13.217277,1.859053,14.391098,0.078255,99.1
13,-13.310694,2.66577,14.503844,0.079543,101.1
14,-12.7644,2.536236,13.887237,0.074856,98.1
15,-12.893099,2.143033,14.004405,0.074087,98.0
16,-12.75387,2.496771,13.798752,0.069659,99.7
17,-12.828695,2.009624,13.93207,0.073558,98.1
18,-12.834353,2.280005,13.969331,0.075665,105.6
19,-12.806987,1.736556,13.925179,0.074546,100.0
20,-12.682019,2.337654,13.819685,0.075844,97.6
21,-12.581277,2.352987,13.684148,0.073525,97.6
22,-12.670152,2.799238,13.804616,0.075631,99.5
23,-12.711248,2.226569,13.813135,0.073459,98.8
24,-12.54355,2.124319,13.658406,0.074324,97.7
25,-12.62691,2.457012,13.744807,0.074526,99.0
26,-12.226463,1.9973,13.275344,0.069925,98.6
27,-12.385853,1.352185,13.511579,0.075048,99.7
28,-12.246333,1.987371,13.281985,0.069044,100.3
29,-12.204422,1.510096,13.330626,0.07508,98.5
30,-12.133423,1.870754,13.17612,0.069513,99.7
31,-11.954593,2.084308,12.998597,0.0696,98.3
32,-11.957622,1.757419,13.018789,0.070744,95.4
33,-11.963741,1.329601,13.039962,0.071748,97.5
34,-11.82464,1.428897,12.9013,0.071777,100.0
35,-11.774773,1.55775,12.836316,0.07077,96.3
36,-11.789173,1.654596,12.79323,0.066937,100.4
37,-12.050552,1.404828,13.133035,0.072166,98.6
38,-11.961465,1.232093,12.970301,0.067256,100.6
39,-11.909573,1.303637,12.97875,0.071278,99.3
40,-11.934181,1.494942,12.999401,0.071015,95.5
41,-11.779672,1.551228,12.786948,0.067152,99.7
42,-11.743925,1.498969,12.777821,0.068926,98.5
43,-11.719691,1.64948,12.76035,0.069377,100.5
44,-11.914067,1.200677,12.970726,0.070444,94.8
45,-11.917588,1.521293,12.956321,0.069249,98.7
46,-11.860331,1.600321,12.921524,0.070746,101.2
47,-11.826067,0.996395,12.918344,0.072818,97.0
48,-12.028134,1.063823,13.10793,0.071986,98.2
49,-11.873276,1.779529,12.941008,0.071182,99.8
50,-11.905917,1.234608,13.005715,0.07332,95.7
