epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-53.766379,-11.146195,72.757628,1.266083,102.7
2,-13.252825,-0.867277,14.228691,0.065058,95.1
3,-12.936715,1.615932,13.707897,0.051412,94.1
4,-11.654962,1.208143,12.226326,0.038091,95.5
5,-10.845719,3.954498,11.423115,0.038493,102.7
6,-10.117723,3.640265,10.646706,0.035266,96.2
7,-10.261363,3.818842,10.791432,0.035338,97.6
8,-10.092345,2.952026,10.612288,0.034663,97.2
9,-9.685997,2.780716,10.195101,0.03394,99.0
10,-9.35871,2.555402,9.858645,0.033329,95.8
11,-9.271406,2.174999,9.774159,0.033517,96.5
12,-9.258396,2.494861,9.799021,0.036042,94.6
13,-9.301185,2.476019,9.854253,0.036871,97.1
14,-9.00178,2.627301,9.547752,0.036398,94.2
15,-8.728825,2.635926,9.234244,0.033695,95.1
16,-8.615327,2.634506,9.125837,0.034034,93.6
17,-8.555101,2.592815,9.071378,0.034418,95.4
18,-8.64153,2.678069,9.180841,0.035954,93.3
19,-8.626129,2.523899,9.158167,0.035469,98.3
20,-8.904033,2.255362,9.484341,0.038687,96.3
21,-8.743321,2.649615,9.29344,0.036675,103.0
22,-8.811928,2.094876,9.390226,0.038553,97.9
23,-8.873744,2.528042,9.480261,0.040434,97.5
24,-8.751695,2.106691,9.338339,0.03911,96.3
25,-8.758864,2.11203,9.349746,0.039392,96.3
26,-8.735045,1.804253,9.340068,0.040335,97.2
27,-8.700831,1.697053,9.281068,0.038682,97.0
28,-8.663773,1.671474,9.247057,0.038886,96.5
29,-8.614512,1.561274,9.196347,0.038789,98.2
30,-8.696568,1.594116,9.304924,0.040557,101.5
31,-8.499031,1.214786,9.067941,0.037927,97.5
32,-8.481405,1.439283,9.070031,0.039242,96.6
33,-8.58115,1.160825,9.1809,0.039983,96.3
34,-8.507755,1.54707,9.105022,0.039818,95.9
35,-8.548161,1.237121,9.144911,0.039783,97.6
36,-8.490346,1.350931,9.092424,0.040139,93.5
37,-8.473067,1.223587,9.059777,0.039114,97.7
38,-8.631995,1.437111,9.24475,0.04085,96.1
39,-8.490178,1.009821,9.098406,0.040549,94.7
40,-8.519041,0.881729,9.129684,0.04071,97.2
41,-8.560362,1.163352,9.162783,0.040161,97.1
42,-8.56598,1.291254,9.167069,0.040073,96.9
43,-8.620233,1.184927,9.239471,0.041282,102.8
44,-8.679947,1.323182,9.313536,0.042239,96.1
45,-8.61116,0.888306,9.229503,0.041223,94.9
46,-8.760316,1.28756,9.394724,0.042294,97.8
47,-8.807208,1.148007,9.445272,0.042538,96.2
48,-8.814181,1.393062,9.476319,0.044142,110.2
49,-8.862208,0.771575,9.524805,0.044173,98.5
50,-8.969773,1.59529,9.62708,0.04382,97.0
