epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-154.423245,-15.013282,259.55573,21.026497,104.4
2,-54.789724,6.371538,74.759089,3.993873,102.7
3,-44.208478,5.715002,60.008436,3.159991,104.6
4,-39.820267,5.845362,53.40933,2.717813,101.1
5,-37.61621,7.099196,50.391256,2.555009,101.3
6,-35.635142,7.56923,47.303373,2.333646,102.1
7,-33.581768,6.951334,44.289287,2.141504,101.1
8,-33.288415,6.494526,43.928134,2.127944,102.9
9,-32.416397,6.328681,42.7559,2.067901,103.0
10,-31.286777,5.080962,40.941791,1.931003,99.8
11,-30.173539,5.49232,39.477541,1.8608,102.2
12,-30.64784,6.451683,39.791405,1.828713,105.2
13,-29.995104,4.754484,38.771572,1.755294,103.5
14,-29.286147,4.303165,38.034546,1.74968,104.4
15,-29.166181,5.194789,38.042542,1.775272,103.0
16,-29.212967,5.477785,37.890543,1.735515,99.8
17,-29.216136,5.706411,37.874435,1.73166,101.7
18,-29.636497,5.793174,38.388633,1.750427,104.2
19,-29.052058,5.534922,37.576993,1.704987,110.7
20,-28.855405,4.767947,37.308861,1.690691,102.6
21,-28.293699,5.228127,36.717158,1.684692,104.4
22,-28.318404,6.51424,36.75779,1.687877,103.9
23,-28.586504,4.468861,36.993481,1.681395,104.0
24,-27.912782,4.915453,36.261682,1.66978,109.7
25,-27.862123,5.459856,36.282102,1.683996,104.1
26,-27.633579,5.181256,35.69108,1.6115,100.2
27,-27.688604,3.836299,35.86666,1.635611,102.7
28,-27.286109,5.329729,35.147739,1.572326,106.1
29,-27.784147,4.986538,35.791272,1.601425,106.1
30,-27.587657,4.014778,35.638249,1.610118,102.2
31,-27.588747,4.601413,35.682306,1.618712,127.2
32,-27.192188,4.185887,35.123999,1.586362,103.9
33,-27.024807,5.034957,34.847066,1.564452,104.4
34,-27.17427,3.683244,34.869901,1.539126,103.4
35,-27.311864,3.989331,35.245354,1.586698,103.6
36,-27.073501,4.740789,34.802757,1.545851,108.2
37,-27.537789,3.926533,35.607405,1.613923,99.8
38,-27.205081,4.323139,35.051674,1.569319,101.6
39,-27.340819,4.730059,35.330154,1.597867,119.4
40,-27.511936,2.605369,35.433975,1.584408,101.6
41,-27.67627,4.347807,35.585845,1.581915,103.2
42,-27.638832,3.164124,35.780471,1.628328,103.4
43,-27.576277,3.104689,35.703527,1.62545,103.9
44,-27.705739,3.368262,35.743814,1.607615,99.4
45,-27.324044,3.23923,35.23031,1.581253,101.7
46,-27.870528,3.528713,35.918945,1.609683,102.3
47,-27.56069,3.048445,35.62362,1.612586,103.5
48,-27.370467,3.91128,35.332353,1.592377,103.3
49,-27.577355,2.107009,35.5686,1.598249,106.1
50,-27.068884,3.302817,34.869587,1.56014,104.6
