epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-89.051419,-7.889535,130.631138,2.771981,113.8
2,-36.176419,3.081294,44.264774,0.539224,104.1
3,-28.03524,3.674614,33.368641,0.35556,103.7
4,-25.585658,3.838333,30.670997,0.339023,100.9
5,-25.114807,4.030932,29.869109,0.316953,102.5
6,-23.754471,3.417819,27.977264,0.281519,101.5
7,-23.242925,3.390679,27.380453,0.275835,107.1
8,-22.373927,3.669477,26.176545,0.253508,99.1
9,-21.731438,4.280733,25.429604,0.246544,112.2
10,-21.674587,3.258603,25.302835,0.241883,99.7
11,-21.258475,3.356277,24.698721,0.22935,102.4
12,-20.698674,2.998178,24.139793,0.229408,103.1
13,-20.922097,3.182746,24.36725,0.229677,104.4
14,-20.945414,3.355144,24.437094,0.232779,101.4
15,-20.781857,2.701943,24.12015,0.222553,100.2
16,-20.759198,3.486741,24.060039,0.220056,99.3
17,-20.239464,2.764132,23.507867,0.217894,101.0
18,-20.209315,2.898716,23.459037,0.216648,101.3
19,-19.787237,2.189672,22.914645,0.208494,103.5
20,-19.996136,3.629065,23.172003,0.211724,101.9
21,-19.663359,2.566467,22.77181,0.20723,110.2
22,-19.7616,3.039319,22.920425,0.210588,103.6
23,-19.65374,2.854581,22.735735,0.205466,99.5
24,-19.524102,2.949233,22.659623,0.209035,102.4
25,-19.391518,2.304541,22.492684,0.206744,100.4
26,-19.33139,2.910203,22.369921,0.202569,104.1
27,-19.647227,2.654143,22.797622,0.210026,104.6
28,-19.473141,3.046667,22.5004,0.201817,100.8
29,-19.025962,2.647513,21.88677,0.190721,107.6
30,-19.305609,2.624458,22.240736,0.195675,102.8
31,-19.392687,2.091899,22.357393,0.197647,100.7
32,-19.484866,1.995651,22.487241,0.200158,101.1
33,-19.419702,2.86985,22.392971,0.198218,99.4
34,-19.312159,2.651285,22.286945,0.198319,102.2
35,-19.569611,1.984134,22.546153,0.198436,100.5
36,-19.605188,2.271302,22.568008,0.197521,100.6
37,-19.328666,2.120009,22.285691,0.197135,115.9
38,-19.521554,1.683659,22.510909,0.19929,107.6
39,-19.411992,1.977599,22.259241,0.189817,103.1
40,-19.798752,1.881313,22.795565,0.199788,102.8
41,-19.575617,2.531604,22.579646,0.200269,100.3
42,-19.45501,2.001926,22.32868,0.191578,104.6
43,-19.598605,2.64929,22.499769,0.193411,99.9
44,-19.585214,2.048249,22.509668,0.194964,108.7
45,-19.52341,2.180277,22.44585,0.194829,102.6
46,-19.546953,2.093516,22.457928,0.194065,102.2
47,-19.670914,2.181724,22.668392,0.199832,103.6
48,-19.646332,2.131412,22.549544,0.193547,101.1
49,-19.347599,1.628536,22.310463,0.197524,104.2
50,-19.296304,1.976473,22.113855,0.187837,103.2
