epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-125.244785,-10.03557,197.475487,7.22307,105.1
2,-43.537417,4.579721,55.788975,1.225156,102.6
3,-34.137778,6.802304,42.976613,0.883884,101.7
4,-29.704493,4.066568,36.904821,0.720033,99.4
5,-27.609344,3.758301,34.224466,0.661512,101.2
6,-27.078066,3.107961,33.4613,0.638323,105.3
7,-26.500255,4.256802,32.503105,0.600285,104.2
8,-25.935446,3.7397,31.741009,0.580556,100.6
9,-25.380721,3.882056,30.894518,0.55138,100.2
10,-25.037303,4.385914,30.417892,0.538059,100.4
11,-24.468243,3.926863,29.698464,0.523022,102.9
12,-24.176577,4.465661,29.279345,0.510277,104.7
13,-23.741554,4.467402,28.839075,0.509752,100.8
14,-23.561974,4.057145,28.402505,0.484053,101.3
15,-23.000783,3.557709,27.878452,0.487767,105.8
16,-23.101057,4.070443,27.888461,0.47874,100.9
17,-22.466543,3.078631,26.949438,0.44829,99.9
18,-22.505928,3.343408,26.99763,0.44917,102.2
19,-22.121398,3.665666,26.641101,0.45197,103.3
20,-22.099563,3.441824,26.443094,0.434353,99.4
21,-21.668589,2.8063,25.958998,0.429041,102.5
22,-21.748108,3.044652,26.100839,0.435273,101.6
23,-21.826165,2.698717,26.180371,0.435421,100.9
24,-21.237594,2.497043,25.480123,0.424253,102.7
25,-21.019495,2.938612,25.074543,0.405505,102.6
26,-21.642358,2.277105,25.983538,0.434118,102.4
27,-21.445766,2.35143,25.699254,0.425349,101.0
28,-21.194488,2.414292,25.369116,0.417463,101.7
29,-21.45927,2.72831,25.599827,0.414056,100.2
30,-21.41766,3.019183,25.580577,0.416292,104.7
31,-21.255852,2.119818,25.351786,0.409593,103.3
32,-21.430228,2.423509,25.633393,0.420316,101.6
33,-21.762174,2.918556,26.029955,0.426778,103.1
34,-21.283997,2.7083,25.4366,0.41526,104.9
35,-20.967277,1.919473,25.069981,0.41027,99.1
36,-21.032615,2.197556,25.110561,0.407795,100.9
37,-21.274462,2.011907,25.510985,0.423652,103.6
38,-21.238256,2.417937,25.240494,0.400224,103.6
39,-21.155669,2.195493,25.158758,0.400309,98.9
40,-21.533335,1.505314,25.565051,0.403172,104.2
41,-21.210492,2.569987,25.342782,0.413229,105.2
42,-21.436139,1.914016,25.484485,0.404835,101.8
43,-21.265107,3.033899,25.411657,0.414655,103.5
44,-21.319771,1.920691,25.383226,0.406345,101.6
45,-21.693589,2.10567,25.932717,0.423913,101.6
46,-21.611674,1.821553,25.756027,0.414435,103.6
47,-21.303178,1.981099,25.352469,0.404929,103.1
48,-21.411275,2.03836,25.529639,0.411836,103.8
49,-21.262033,2.337036,25.413643,0.415161,103.5
50,-21.734436,2.043253,25.950082,0.421565,104.0
