epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-55.628408,-14.295128,75.964731,2.033632,99.5
2,-27.674031,2.862514,32.22009,0.454606,100.4
3,-25.341356,6.985513,29.449803,0.410845,100.8
4,-21.922981,4.700131,25.380584,0.34576,99.7
5,-19.317587,5.405218,21.971899,0.265431,103.0
6,-18.582392,6.540559,21.327693,0.27453,99.4
7,-17.984522,6.223368,20.493744,0.250922,98.1
8,-16.994089,5.150871,19.280785,0.22867,96.4
9,-16.642513,4.967293,18.776385,0.213387,101.1
10,-15.836722,4.655481,17.826202,0.198948,98.0
11,-15.638959,4.858378,17.627949,0.198899,98.5
12,-15.733808,4.855597,17.751499,0.201769,97.8
13,-15.484395,4.906374,17.466101,0.198171,98.3
14,-15.246541,4.182215,17.180672,0.193413,99.3
15,-15.294275,4.65795,17.333329,0.203905,99.6
16,-15.18987,4.207373,17.19728,0.200741,94.7
17,-15.123839,4.566026,17.137517,0.201368,100.3
18,-14.783632,3.467334,16.729159,0.194553,100.2
19,-14.68614,4.138543,16.616873,0.193073,99.9
20,-14.634278,3.374566,16.599261,0.196498,97.4
21,-14.519209,3.927577,16.422241,0.190303,97.3
22,-14.338409,3.653597,16.165271,0.182686,101.5
23,-14.186509,3.021543,16.044087,0.185758,100.1
24,-14.251853,3.142997,16.03061,0.177876,99.7
25,-14.087554,3.396958,15.893547,0.180599,99.2
26,-13.97098,3.026263,15.765784,0.17948,96.8
27,-13.695055,2.514367,15.383111,0.168806,102.4
28,-13.565828,2.885381,15.258817,0.169299,99.0
29,-13.64767,2.580936,15.363416,0.171575,99.4
30,-13.591748,2.719321,15.300565,0.170882,99.9
31,-13.094181,2.629327,14.694865,0.160068,130.6
32,-13.125046,2.785151,14.72995,0.16049,97.6
33,-13.12578,3.021523,14.731525,0.160575,98.2
34,-13.140072,1.945263,14.712974,0.15729,102.3
35,-13.162457,2.304004,14.758436,0.159598,97.3
36,-13.204207,2.949365,14.808907,0.16047,100.4
37,-12.996827,2.584783,14.606985,0.161016,100.5
38,-13.239436,2.036773,14.884977,0.164554,97.1
39,-13.061347,2.36245,14.694598,0.163325,101.7
40,-13.151454,2.066187,14.784501,0.163305,97.0
41,-13.142429,2.595029,14.784419,0.164199,97.4
42,-13.30514,2.285499,14.946355,0.164121,100.4
43,-13.134864,2.258975,14.743848,0.160898,126.1
44,-13.209017,2.342685,14.894053,0.168504,99.7
45,-13.38333,2.191114,15.065539,0.168221,100.0
46,-13.386154,2.182369,15.094365,0.170821,101.2
47,-13.329865,1.981695,15.05211,0.172224,95.8
48,-13.551637,1.798652,15.257202,0.170557,99.1
49,-13.511395,2.442502,15.245787,0.173439,99.4
50,-13.632777,2.353366,15.431612,0.179883,97.1
