epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-47.36437,-15.119022,64.230109,1.686574,96.9
2,-15.163921,-1.010046,16.433014,0.126909,98.0
3,-15.258062,2.851876,16.732536,0.147447,94.9
4,-12.247687,2.740805,13.183162,0.093548,97.6
5,-11.365988,3.748434,12.179143,0.081315,97.8
6,-10.661175,2.1765,11.425696,0.076452,95.0
7,-8.83475,1.644129,9.382097,0.054735,101.9
8,-8.252567,1.787058,8.739299,0.048673,96.1
9,-8.344601,1.815534,8.877435,0.053283,97.1
10,-8.407085,1.551616,8.965754,0.055867,115.3
11,-8.533053,1.825824,9.134624,0.060157,95.5
12,-8.75438,1.844175,9.410104,0.065572,98.6
13,-8.668031,2.109744,9.316203,0.064817,94.3
14,-8.79296,2.015378,9.483544,0.069058,97.2
15,-8.652864,2.065153,9.301013,0.064815,107.2
16,-8.408275,2.18839,9.075441,0.066717,100.0
17,-8.070317,1.635903,8.674708,0.060439,97.9
18,-8.019203,2.035645,8.610001,0.05908,98.6
19,-8.238275,1.689993,8.866756,0.062848,97.8
20,-8.22173,1.838881,8.857644,0.063591,95.6
21,-8.107932,1.793038,8.731111,0.062318,97.5
22,-8.332384,1.628776,9.024482,0.06921,98.8
23,-8.217298,1.401938,8.912156,0.069486,94.1
24,-8.232847,2.020211,8.921676,0.068883,97.5
25,-8.128974,1.585995,8.821853,0.069288,93.0
26,-8.225245,1.76213,8.930583,0.070534,110.7
27,-8.212171,1.617461,8.920795,0.070862,98.6
28,-8.104531,1.310545,8.77535,0.067082,93.6
29,-8.074189,1.535563,8.764133,0.068994,96.6
30,-8.065309,1.676646,8.739794,0.067448,99.7
31,-8.037596,1.100994,8.743342,0.070575,95.8
32,-8.082439,1.530491,8.772097,0.068966,95.0
33,-8.00794,1.606843,8.686896,0.067896,94.4
34,-8.092715,1.48785,8.800343,0.070763,97.9
35,-8.140772,1.347949,8.840903,0.070013,97.8
36,-8.104407,1.61177,8.788882,0.068448,96.1
37,-8.090903,1.391837,8.780998,0.06901,96.8
38,-8.131697,1.113802,8.855401,0.07237,94.8
39,-8.159499,1.225978,8.8722,0.07127,98.1
40,-8.273618,1.468639,9.001149,0.072753,109.3
41,-8.211208,1.417447,8.931535,0.072033,94.1
42,-8.300977,0.954353,9.023184,0.072221,99.6
43,-8.459947,1.126615,9.225527,0.076558,96.4
44,-8.471112,1.288659,9.228079,0.075697,98.2
45,-8.515196,1.438122,9.290186,0.077499,110.7
46,-8.560903,0.87179,9.343432,0.078253,95.5
47,-8.654384,1.098439,9.466684,0.08123,94.3
48,-8.761895,1.110584,9.591589,0.082969,95.2
49,-8.843431,1.020809,9.686308,0.084288,96.6
50,-8.828836,0.965831,9.675887,0.084705,97.1
