epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-50.051353,-10.77674,66.935056,1.12558,96.1
2,-11.888858,1.147117,12.559189,0.044689,93.3
3,-10.699286,4.645899,11.164929,0.031043,94.1
4,-9.726804,4.443009,10.098585,0.024785,97.4
5,-10.242485,3.150369,10.700829,0.030556,94.6
6,-9.811441,3.153792,10.244021,0.028839,94.3
7,-9.521199,3.82241,9.96275,0.029437,94.4
8,-9.364079,2.605722,9.81935,0.030351,94.2
9,-9.189212,3.166951,9.695657,0.033763,108.9
10,-8.942542,3.150181,9.408339,0.031053,94.8
11,-8.500887,2.385193,8.94959,0.029914,93.0
12,-8.1127,2.069854,8.546827,0.028942,96.5
13,-7.849085,2.291473,8.245845,0.026451,98.3
14,-7.632203,1.681081,8.001905,0.024647,95.1
15,-7.610493,2.260079,7.982507,0.024801,94.7
16,-7.487156,1.660293,7.863919,0.025118,98.5
17,-7.411429,1.241564,7.772972,0.024103,99.0
18,-7.52314,1.223395,7.91354,0.026027,97.7
19,-7.50175,1.874222,7.871792,0.02467,95.4
20,-7.299472,1.009174,7.66502,0.02437,94.5
21,-7.152827,1.40561,7.508904,0.023738,94.0
22,-7.208923,1.759137,7.593892,0.025665,95.4
23,-7.021994,1.026551,7.367292,0.02302,94.6
24,-6.988487,1.206935,7.327856,0.022625,98.4
25,-6.945315,0.973776,7.284766,0.02263,98.8
26,-6.930691,1.122321,7.272852,0.022811,99.0
27,-6.884282,0.985907,7.229554,0.023018,95.6
28,-6.941056,1.391703,7.302374,0.024088,94.0
29,-6.749179,1.20459,7.10448,0.023687,94.1
30,-6.813827,1.122871,7.143511,0.021979,97.4
31,-6.740423,1.220756,7.086658,0.023082,96.7
32,-6.669,1.105075,6.99805,0.021937,99.1
33,-6.709949,0.729548,7.046187,0.022416,94.2
34,-6.649814,1.016903,6.990532,0.022715,97.2
35,-6.680464,1.334326,7.019171,0.02258,94.1
36,-6.629081,0.834935,6.961487,0.02216,97.8
37,-6.631729,1.014718,6.970745,0.022601,97.0
38,-6.712515,0.783375,7.068052,0.023702,93.5
39,-6.747479,1.220358,7.099949,0.023498,94.5
40,-6.706391,0.896967,7.056931,0.023369,96.0
41,-6.788599,0.807531,7.14601,0.023827,99.6
42,-6.734786,0.97,7.094339,0.02397,98.5
43,-6.830701,0.944046,7.200105,0.024627,93.6
44,-6.997571,0.693598,7.387502,0.025995,97.4
45,-6.989637,1.24954,7.378445,0.025921,97.2
46,-7.025892,0.634229,7.428797,0.02686,92.7
47,-7.067725,0.859151,7.464603,0.026459,96.1
48,-7.151815,1.018939,7.554684,0.026858,96.8
49,-7.175603,1.000016,7.60432,0.028581,95.2
50,-7.218283,0.945702,7.643466,0.028346,96.3
