epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-111.027324,-23.761052,166.757582,11.146051,102.9
2,-51.841357,10.298231,70.215202,3.674769,102.3
3,-44.382083,12.414156,59.840112,3.091606,104.0
4,-41.2161,10.43655,55.368776,2.830535,99.6
5,-38.806728,7.55277,52.020503,2.642755,104.0
6,-35.936277,7.816545,47.581266,2.328998,138.4
7,-33.795079,7.438407,44.765718,2.194128,105.5
8,-33.734388,7.542609,44.158526,2.084828,102.5
9,-32.443309,6.594346,42.219025,1.955143,100.7
10,-31.309692,7.118663,40.591142,1.85629,103.5
11,-30.639324,6.946413,39.562729,1.784681,101.5
12,-30.238351,6.453295,39.058462,1.764022,102.1
13,-28.962352,5.806533,37.478046,1.703139,104.5
14,-28.065638,5.813837,36.225246,1.631922,102.3
15,-28.032945,5.836196,36.016073,1.596626,100.9
16,-27.029885,5.110222,34.666294,1.527282,101.1
17,-26.73477,5.898485,34.318169,1.51668,121.4
18,-26.593742,5.681556,34.292873,1.539826,101.4
19,-26.414588,4.673084,33.828914,1.482865,100.6
20,-26.386521,4.645828,33.827012,1.488098,101.2
21,-25.870694,4.782297,33.116438,1.449149,103.3
22,-25.670346,3.980745,32.974278,1.460786,104.2
23,-25.790897,4.53465,32.99565,1.440951,103.6
24,-25.613426,4.650466,32.692249,1.415765,143.4
25,-25.6397,5.470362,32.717086,1.415477,102.2
26,-25.474503,4.599613,32.420954,1.38929,100.3
27,-25.739238,3.825982,32.734692,1.399091,101.2
28,-25.763433,4.12779,32.831391,1.413592,101.4
29,-25.202947,4.778812,32.215378,1.402486,100.7
30,-25.480423,4.47748,32.534683,1.410852,100.3
31,-25.361517,3.211783,32.370133,1.401723,101.4
32,-25.98957,4.00135,33.164588,1.435004,117.4
33,-25.32608,4.210583,32.292627,1.393309,104.5
34,-25.525976,4.019395,32.443786,1.383562,105.0
35,-25.319172,3.145861,32.130153,1.362196,99.6
36,-25.527015,4.260505,32.615867,1.41777,101.8
37,-25.163965,3.897757,32.049285,1.377064,102.4
38,-25.729746,3.949554,32.732833,1.400617,101.0
39,-26.012511,3.63533,33.192873,1.436072,104.9
40,-25.461764,2.624558,32.351936,1.378034,100.7
41,-25.58333,3.976972,32.664521,1.416238,104.5
42,-25.544696,2.894142,32.47583,1.386227,104.1
43,-25.764182,3.385129,32.754251,1.398014,101.1
44,-26.153769,2.75391,33.372404,1.443727,100.9
45,-25.777207,2.91865,32.772488,1.399056,122.9
46,-25.266844,2.913443,32.250882,1.396808,105.2
47,-25.977774,3.970036,33.006349,1.405715,104.5
48,-25.758999,3.411287,33.021828,1.452566,102.8
49,-25.742056,3.011722,32.799079,1.411405,100.3
50,-25.956286,3.599615,33.085647,1.425872,104.9
