epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-62.667462,-11.280262,83.792241,1.408319,184.1
2,-35.76025,0.300558,43.591241,0.522066,100.4
3,-29.966944,2.308119,36.186289,0.414623,100.6
4,-28.535534,4.232573,34.279084,0.382903,101.9
5,-27.453982,2.094749,32.984072,0.368673,101.5
6,-26.685202,2.552717,31.821329,0.342408,101.4
7,-26.376944,2.980914,31.525555,0.343241,99.9
8,-25.838568,3.866994,30.589983,0.316761,98.3
9,-24.905227,3.525024,29.494778,0.30597,99.1
10,-24.264789,4.2415,28.727705,0.297528,100.3
11,-23.889851,4.505206,28.130815,0.282731,100.6
12,-23.717681,4.497023,28.000881,0.285547,103.7
13,-23.572383,4.641009,27.703022,0.275376,103.1
14,-23.437077,4.817839,27.651872,0.280986,102.5
15,-23.492094,4.541898,27.640388,0.276553,103.0
16,-23.38087,4.264812,27.540485,0.277308,101.5
17,-23.258415,4.049167,27.351625,0.272881,103.0
18,-23.120248,4.219565,27.101502,0.265417,101.8
19,-22.831059,4.364348,26.871422,0.269358,102.6
20,-22.945599,4.298582,26.940842,0.26635,99.7
21,-22.466354,4.653474,26.352544,0.259079,104.0
22,-22.648617,4.007418,26.645036,0.266428,102.4
23,-22.414346,3.556923,26.358453,0.26294,99.3
24,-22.231895,4.527714,26.052585,0.254713,100.0
25,-22.143108,4.065487,25.963439,0.254689,103.4
26,-22.26939,4.131571,26.087118,0.254515,99.8
27,-22.245051,3.53205,26.09427,0.256615,100.5
28,-22.034197,3.338889,25.840142,0.25373,101.7
29,-22.272207,3.858466,26.051016,0.251921,100.3
30,-22.455953,3.722242,26.269456,0.254234,99.3
31,-22.209401,3.594924,26.039914,0.255368,100.7
32,-22.034627,3.505975,25.781369,0.249783,99.1
33,-21.939454,2.664121,25.661142,0.248113,106.0
34,-21.932355,2.739326,25.776215,0.256257,103.3
35,-21.900243,3.405374,25.66452,0.250952,103.8
36,-21.834878,2.938408,25.569901,0.249002,100.2
37,-21.761093,2.956993,25.473033,0.247463,103.2
38,-22.002576,3.154876,25.717851,0.247685,102.2
39,-22.257457,2.883911,26.117252,0.25732,104.2
40,-22.038378,2.453706,25.80048,0.250807,104.4
41,-22.153873,3.085216,25.910306,0.250429,102.1
42,-22.232403,2.87838,26.001897,0.2513,102.7
43,-22.263998,3.01539,26.019777,0.250385,102.4
44,-21.992014,2.662448,25.733305,0.249419,103.8
45,-22.082018,2.964491,25.791293,0.247285,103.5
46,-22.158038,2.8258,25.905892,0.249857,102.3
47,-21.974072,1.782441,25.603088,0.241934,102.2
48,-22.075342,2.930836,25.722768,0.243162,99.5
49,-22.400799,2.634056,26.245597,0.25632,103.6
50,-22.281006,2.411343,26.094357,0.254223,106.2
