epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-65.976844,-19.832569,93.398063,5.484244,100.7
2,-13.712578,0.83722,15.232141,0.303913,95.2
3,-10.22964,-0.192119,11.118875,0.177847,99.6
4,-11.101691,1.505355,12.190741,0.21781,96.1
5,-10.915562,3.051798,12.095422,0.235972,95.7
6,-10.440522,3.806435,11.536358,0.219167,101.2
7,-9.001617,3.661069,9.958436,0.191364,99.1
8,-9.119844,3.03237,10.09203,0.194437,97.9
9,-9.321596,3.216178,10.348206,0.205322,93.3
10,-9.653421,1.743077,10.796286,0.228573,95.5
11,-9.87768,2.364261,11.101067,0.244677,104.1
12,-9.308594,3.335222,10.527273,0.243736,94.7
13,-9.057595,2.490484,10.157529,0.219987,94.3
14,-8.573079,3.055146,9.630125,0.211409,94.9
15,-8.215546,2.485447,9.152126,0.187316,96.0
16,-7.935234,2.128401,8.827792,0.178512,96.1
17,-7.752351,2.454528,8.617392,0.173008,98.6
18,-7.819032,2.683288,8.686152,0.173424,99.8
19,-8.000258,2.384113,8.947166,0.189382,99.9
20,-7.888444,2.331787,8.81776,0.185863,94.7
21,-7.973335,1.956523,8.906755,0.186684,98.9
22,-7.915791,2.138499,8.874301,0.191702,95.0
23,-8.146139,2.025073,9.126843,0.196141,96.9
24,-8.025621,1.960614,9.003348,0.195546,94.5
25,-7.868834,2.008246,8.832237,0.192681,95.7
26,-7.984076,2.866812,8.978426,0.19887,98.0
27,-8.104186,2.656684,9.125813,0.204325,98.5
28,-7.831278,1.580185,8.796939,0.193132,95.6
29,-8.009739,2.034366,9.013016,0.200655,99.2
30,-7.938047,1.922098,8.934694,0.199329,95.3
31,-7.974593,1.972625,9.003099,0.205701,97.3
32,-8.258122,2.114407,9.287119,0.205799,95.2
33,-7.934731,2.362663,8.981492,0.209352,94.8
34,-8.084866,2.287885,9.103558,0.203738,94.5
35,-8.206382,1.734808,9.308635,0.220451,94.9
36,-8.299723,2.47706,9.376347,0.215325,94.8
37,-8.219089,1.973822,9.339573,0.224097,94.6
38,-8.230823,2.253092,9.328194,0.219474,99.0
39,-8.228091,2.012634,9.381923,0.230766,95.7
40,-8.217323,2.220523,9.345499,0.225635,94.9
41,-8.268237,1.787894,9.370375,0.220428,96.0
42,-8.293955,1.462495,9.444113,0.230032,93.6
43,-8.287184,2.44321,9.403232,0.223209,125.7
44,-8.360359,1.702768,9.47307,0.222542,96.0
45,-8.210604,1.665526,9.321981,0.222275,97.7
46,-8.358577,2.086444,9.507524,0.229789,96.6
47,-8.545046,2.450974,9.755546,0.2421,95.2
48,-8.263674,1.508347,9.401157,0.227497,99.3
49,-8.637004,1.799862,9.864642,0.245527,104.7
50,-8.499483,1.701479,9.680943,0.236292,95.2
