epoch,critic_loss,generator_loss,wasserstein_distance,gradient_penalty,epoch_time_sec
1,-50.159444,-11.319687,66.378147,1.081247,103.3
2,-25.387342,0.981323,28.789,0.226777,98.3
3,-22.655625,6.077537,25.547245,0.192775,97.6
4,-21.130644,7.108914,23.706526,0.171725,95.3
5,-20.177138,6.051314,22.647077,0.164663,98.0
6,-18.947097,5.146449,21.244025,0.153128,99.4
7,-17.202229,5.726159,19.135983,0.128917,100.0
8,-16.40532,4.498838,18.11538,0.114004,97.2
9,-16.21235,3.965884,18.001478,0.119275,99.9
10,-16.307592,5.052299,18.081457,0.118258,101.1
11,-15.95033,4.063544,17.666254,0.114395,100.3
12,-15.684828,4.160342,17.356778,0.111463,96.7
13,-15.151454,3.893494,16.674369,0.101528,100.1
14,-15.049814,3.663257,16.579414,0.101973,100.6
15,-14.778652,4.017516,16.306923,0.101885,98.6
16,-14.61071,3.775556,16.068492,0.097185,97.0
17,-14.607557,3.170335,16.125449,0.101193,96.6
18,-14.432528,4.257791,15.922008,0.099299,100.8
19,-14.321266,3.306229,15.782826,0.097437,100.5
20,-13.885693,3.735022,15.304235,0.094569,98.3
21,-13.791439,3.464848,15.192931,0.093433,95.9
22,-13.7671,3.246828,15.165736,0.093242,99.7
23,-13.408336,3.51609,14.735343,0.088467,98.0
24,-13.38851,3.185574,14.726716,0.089214,98.1
25,-13.249621,2.793594,14.572042,0.088161,99.1
26,-13.358014,3.20006,14.694707,0.089113,99.6
27,-13.182603,2.874196,14.499897,0.08782,98.5
28,-12.913402,2.854534,14.193067,0.085311,99.1
29,-12.934388,2.702665,14.186851,0.083497,121.4
30,-12.92469,2.907876,14.149114,0.081628,98.2
31,-12.988739,2.88,14.276603,0.085858,100.6
32,-12.924682,2.635084,14.211897,0.085814,96.6
33,-12.789776,2.647251,14.007891,0.081208,97.7
34,-12.765618,2.615862,14.029187,0.084238,97.2
35,-12.906725,2.288162,14.132783,0.081737,100.2
36,-12.745074,2.595685,14.011918,0.084456,98.6
37,-12.773549,2.127624,14.017062,0.082901,96.2
38,-12.553695,2.16537,13.753113,0.079961,100.5
39,-12.691498,2.291048,13.912982,0.081432,95.8
40,-12.667298,2.452255,13.9094,0.082807,100.4
41,-12.736629,2.171554,13.96098,0.081623,98.4
42,-12.68828,1.840989,13.961732,0.084897,98.7
43,-12.831214,2.119034,14.096959,0.084383,101.6
44,-12.798689,2.16604,14.03915,0.082697,108.9
45,-12.786292,1.715645,14.036075,0.083319,101.6
46,-12.835157,2.355366,14.056377,0.081415,98.1
47,-12.79231,2.099566,14.024839,0.082169,96.5
48,-12.711497,2.036791,13.955419,0.082928,99.3
49,-12.935404,1.489879,14.20472,0.084621,95.1
50,-12.938582,2.264756,14.233038,0.086297,97.5
