epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.034149,0.003601,0.037749,0.014768,0.018741,0.0312,80.7
2,0.012777,0.004816,0.017593,0.012087,0.017714,0.0234,45.4
3,0.011241,0.005904,0.017145,0.010953,0.016695,0.0234,46.8
4,0.010406,0.006048,0.016454,0.010567,0.016708,0.0234,45.6
5,0.010012,0.006145,0.016156,0.010145,0.016341,0.0234,46.4
6,0.009737,0.006106,0.015843,0.009832,0.016493,0.0234,45.8
7,0.009632,0.006314,0.015946,0.009799,0.01633,0.0234,46.2
8,0.008922,0.00638,0.015302,0.008287,0.013989,0.0312,46.1
9,0.00683,0.004083,0.010913,0.005476,0.00734,0.1016,47.0
10,0.004732,0.001281,0.006013,0.004645,0.005734,0.1719,46.5
11,0.004311,0.000879,0.00519,0.004394,0.005266,0.1719,46.1
12,0.004137,0.000763,0.0049,0.004235,0.005,0.1719,46.9
13,0.004026,0.000678,0.004704,0.004147,0.004823,0.1719,46.4
14,0.003933,0.00063,0.004562,0.004093,0.004754,0.1719,46.8
15,0.003878,0.000614,0.004492,0.004123,0.004779,0.1719,47.0
16,0.003824,0.000614,0.004439,0.004021,0.004663,0.1719,46.2
17,0.003785,0.000624,0.004409,0.003944,0.004625,0.1719,46.8
18,0.003709,0.000648,0.004357,0.003822,0.004552,0.1953,46.4
19,0.003552,0.000679,0.004231,0.003653,0.004382,0.2109,46.9
20,0.003344,0.000663,0.004007,0.003453,0.004141,0.25,46.0
21,0.003201,0.000618,0.003819,0.00334,0.003995,0.2578,46.0
22,0.003086,0.000599,0.003685,0.003188,0.003791,0.2656,46.5
23,0.002992,0.000575,0.003567,0.003155,0.003771,0.2891,46.8
24,0.002924,0.000552,0.003476,0.003072,0.003633,0.3047,46.9
25,0.002894,0.000537,0.003431,0.003049,0.00361,0.3125,46.7
26,0.002835,0.000528,0.003364,0.002984,0.003538,0.3125,46.0
27,0.002813,0.000524,0.003336,0.002958,0.003524,0.3125,46.0
28,0.002785,0.000524,0.003309,0.002913,0.003464,0.3125,46.7
29,0.002756,0.00053,0.003286,0.002906,0.003476,0.3125,46.8
30,0.002733,0.000533,0.003266,0.002913,0.003501,0.3203,46.0
31,0.002705,0.000589,0.003295,0.002799,0.003512,0.3359,46.3
32,0.002582,0.00072,0.003302,0.002678,0.003456,0.3359,47.1
33,0.002533,0.000761,0.003295,0.002681,0.003459,0.3438,46.5
34,0.002504,0.000779,0.003283,0.002629,0.00344,0.3516,46.7
35,0.002469,0.000776,0.003245,0.002583,0.00337,0.3672,47.2
36,0.002419,0.00076,0.00318,0.002521,0.003302,0.375,47.1
37,0.002395,0.000759,0.003154,0.002538,0.003304,0.3984,46.3
38,0.002368,0.000739,0.003107,0.002471,0.003209,0.4141,46.5
39,0.002334,0.000727,0.003061,0.002451,0.003207,0.4219,46.6
40,0.002332,0.000725,0.003057,0.002423,0.003162,0.4375,46.9
41,0.002283,0.000706,0.002989,0.002379,0.003088,0.4531,47.3
42,0.00227,0.000694,0.002965,0.002388,0.00309,0.4609,46.4
43,0.002232,0.000684,0.002916,0.002343,0.003024,0.4688,46.2
