epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
88,0.001985,0.000651,0.002636,0.002092,0.002758,0.4922,45.8
89,0.001983,0.000646,0.002629,0.002108,0.002766,0.4922,45.5
90,0.001977,0.000645,0.002622,0.002103,0.00277,0.5,44.2
91,0.00196,0.000641,0.0026,0.002057,0.002706,0.5234,44.0
92,0.001944,0.000638,0.002582,0.002058,0.0027,0.5312,44.6
93,0.001932,0.000622,0.002554,0.002061,0.002695,0.5469,45.9
94,0.001937,0.000625,0.002563,0.002043,0.002694,0.5469,45.4
95,0.001926,0.000617,0.002544,0.002084,0.002714,0.5625,45.2
96,0.001911,0.000613,0.002524,0.002022,0.002666,0.5703,44.9
97,0.001895,0.000612,0.002507,0.002014,0.002637,0.5859,44.7
98,0.001883,0.000607,0.002491,0.001996,0.002615,0.5938,44.2
99,0.00188,0.000604,0.002485,0.001992,0.002639,0.6016,44.0
100,0.001865,0.000601,0.002466,0.001961,0.002575,0.6172,44.5
101,0.001848,0.000596,0.002443,0.001956,0.002569,0.6406,44.9
102,0.001836,0.000588,0.002425,0.001972,0.002567,0.6484,44.3
103,0.001826,0.000585,0.002411,0.001937,0.002534,0.6562,43.1
104,0.001823,0.00058,0.002404,0.001926,0.002524,0.6641,43.9
105,0.001806,0.000576,0.002381,0.001898,0.00248,0.6875,44.9
106,0.001795,0.000566,0.00236,0.001882,0.00246,0.7031,46.7
107,0.001781,0.000559,0.00234,0.00191,0.002494,0.7109,46.7
108,0.00178,0.000558,0.002338,0.001879,0.002459,0.7109,47.2
109,0.001764,0.00056,0.002324,0.001867,0.00244,0.7344,45.6
110,0.001761,0.000554,0.002315,0.001867,0.002437,0.7422,45.7
111,0.00175,0.000553,0.002302,0.001847,0.002405,0.7578,45.7
112,0.001741,0.000548,0.002289,0.001904,0.002454,0.7734,46.6
113,0.001735,0.000545,0.00228,0.001827,0.002393,0.7812,46.3
114,0.001727,0.000542,0.002269,0.001816,0.002377,0.8047,46.1
115,0.001719,0.000537,0.002256,0.001805,0.002357,0.8125,45.6
116,0.001703,0.000534,0.002237,0.001801,0.002354,0.8125,45.4
