epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.035003,0.004084,0.039087,0.01442,0.020072,0.0254,68.2
2,0.012757,0.004001,0.016759,0.012307,0.016615,0.0059,44.8
3,0.010076,0.002674,0.012751,0.009058,0.010896,0.0098,45.3
4,0.00838,0.001846,0.010226,0.008452,0.010502,0.0098,47.0
5,0.008085,0.002124,0.010209,0.008294,0.010394,0.0098,45.8
6,0.007967,0.002358,0.010325,0.008202,0.010765,0.0098,46.1
7,0.007827,0.002659,0.010486,0.008021,0.010873,0.0098,46.3
8,0.007583,0.002893,0.010476,0.007153,0.009953,0.0117,44.7
9,0.006225,0.002769,0.008994,0.005782,0.008102,0.0195,45.6
10,0.005053,0.001671,0.006725,0.004983,0.006583,0.0234,45.6
11,0.004684,0.001408,0.006091,0.00481,0.006206,0.0254,46.1
12,0.00455,0.001304,0.005854,0.004632,0.005997,0.0254,46.5
13,0.004448,0.001296,0.005744,0.004584,0.005952,0.0254,45.2
14,0.004372,0.001301,0.005673,0.004472,0.005767,0.0273,46.2
15,0.004255,0.001205,0.00546,0.004304,0.005525,0.0312,46.3
16,0.004055,0.001048,0.005103,0.004241,0.005278,0.0332,46.8
17,0.003955,0.000946,0.004901,0.004222,0.005166,0.0371,45.6
18,0.003793,0.00082,0.004612,0.003897,0.004705,0.041,45.2
19,0.003629,0.000735,0.004364,0.003762,0.004532,0.0449,45.3
20,0.003499,0.000689,0.004188,0.003654,0.004379,0.0469,45.6
21,0.003385,0.000687,0.004072,0.00355,0.004321,0.0469,44.0
22,0.003269,0.00072,0.003989,0.003395,0.004172,0.0488,45.6
23,0.003194,0.000726,0.00392,0.003341,0.004117,0.0508,45.5
24,0.003124,0.000708,0.003832,0.003283,0.004045,0.0527,45.9
25,0.003074,0.000701,0.003775,0.003258,0.004008,0.0527,45.9
26,0.003044,0.000695,0.003739,0.003222,0.003942,0.0566,46.0
27,0.002958,0.000652,0.00361,0.003101,0.003772,0.0586,45.3
28,0.002926,0.000635,0.003561,0.003083,0.003743,0.0605,45.6
29,0.002888,0.000619,0.003508,0.003079,0.003719,0.0645,45.6
30,0.002848,0.000595,0.003444,0.003007,0.003607,0.0684,46.3
31,0.002808,0.000572,0.00338,0.002954,0.003528,0.0703,45.4
32,0.002767,0.000558,0.003325,0.002928,0.003496,0.0742,45.2
33,0.002732,0.000539,0.003271,0.002885,0.003429,0.0801,46.6
34,0.00271,0.000531,0.003241,0.002875,0.003427,0.082,46.7
35,0.002686,0.000535,0.003221,0.002807,0.003369,0.0879,46.7
36,0.002621,0.000583,0.003204,0.002736,0.003405,0.0898,46.2
37,0.00255,0.000742,0.003292,0.002664,0.003478,0.0898,46.2
38,0.002474,0.000793,0.003266,0.002587,0.003428,0.0898,46.4
39,0.002431,0.000818,0.00325,0.002544,0.003424,0.0898,46.2
40,0.002407,0.000836,0.003243,0.002518,0.003386,0.0898,45.9
41,0.002383,0.000845,0.003227,0.002485,0.003346,0.0898,46.5
42,0.002353,0.000844,0.003197,0.00246,0.003323,0.0898,46.1
43,0.002334,0.000839,0.003172,0.002478,0.003343,0.0898,46.3
44,0.002323,0.000835,0.003158,0.002439,0.00328,0.0898,46.1
45,0.00231,0.000833,0.003143,0.002432,0.003281,0.0898,44.5
46,0.002295,0.00082,0.003115,0.002403,0.003234,0.0938,43.8
47,0.002273,0.000801,0.003073,0.002396,0.003233,0.0938,43.6
48,0.002269,0.0008,0.00307,0.002395,0.003241,0.0938,44.5
