epoch,train_recon,train_vq,train_total,val_recon,val_total,codebook_util,epoch_time_sec
1,0.036951,0.004543,0.041494,0.01485,0.018812,0.0312,44.7
2,0.012407,0.00358,0.015987,0.01056,0.013042,0.0156,44.7
3,0.009565,0.002186,0.011751,0.009725,0.011871,0.0156,45.1
4,0.009073,0.002407,0.01148,0.00937,0.012358,0.0156,45.8
5,0.008817,0.002803,0.011621,0.009026,0.012087,0.0156,46.2
6,0.008632,0.003048,0.01168,0.008892,0.01212,0.0156,45.1
7,0.008453,0.003172,0.011625,0.008721,0.012067,0.0156,44.6
8,0.008207,0.003285,0.011492,0.007763,0.011199,0.0195,44.7
9,0.007155,0.004004,0.011159,0.007928,0.012504,0.0195,45.1
10,0.006202,0.003226,0.009427,0.005597,0.007905,0.0391,46.4
11,0.005095,0.001865,0.006961,0.005341,0.007467,0.0391,47.6
12,0.004923,0.001818,0.006741,0.005144,0.006993,0.043,47.1
13,0.004679,0.001488,0.006167,0.004817,0.006357,0.0508,46.2
14,0.00445,0.001246,0.005696,0.004587,0.005778,0.0547,45.8
15,0.004305,0.00116,0.005465,0.004466,0.005689,0.0586,44.6
16,0.004228,0.001103,0.00533,0.004379,0.005582,0.0586,44.8
17,0.004139,0.001091,0.00523,0.004282,0.005421,0.0586,45.4
18,0.004041,0.000996,0.005037,0.004199,0.005162,0.0703,44.9
19,0.003899,0.000882,0.004781,0.003958,0.004845,0.0781,46.8
20,0.00369,0.000775,0.004465,0.003785,0.004589,0.0977,47.0
21,0.003506,0.000705,0.00421,0.003593,0.004324,0.1094,46.1
22,0.003346,0.000676,0.004021,0.003468,0.004163,0.1172,45.0
23,0.003206,0.000637,0.003843,0.003319,0.003996,0.125,46.9
24,0.003102,0.000616,0.003719,0.003209,0.003848,0.1289,46.4
25,0.003038,0.000596,0.003634,0.003147,0.003793,0.1367,46.1
26,0.002961,0.000579,0.00354,0.003099,0.003725,0.1406,47.4
27,0.002906,0.000564,0.00347,0.003053,0.003639,0.1406,45.7
28,0.002874,0.00055,0.003424,0.003036,0.003624,0.1406,44.8
29,0.002851,0.00055,0.003401,0.003045,0.003621,0.1445,44.9
30,0.002825,0.000543,0.003368,0.003151,0.003727,0.1484,44.8
31,0.002814,0.000543,0.003356,0.002983,0.003564,0.1562,45.8
