epoch,train_ce,val_ce,epoch_time_sec
1,4.567909,4.315199,40.7
2,4.219895,4.086481,40.6
3,4.052044,3.996774,40.5
4,3.988352,3.930809,40.4
5,3.942324,3.886538,40.4
6,3.903362,3.854951,40.4
7,3.873674,3.83113,40.4
8,3.84743,3.804342,40.4
9,3.818093,3.761794,40.5
10,3.784342,3.736686,40.5
11,3.746282,3.686323,40.5
12,3.701587,3.640189,40.4
13,3.658518,3.598739,40.5
14,3.618939,3.563396,40.5
15,3.586824,3.541443,40.5
16,3.564892,3.525219,40.5
17,3.544513,3.514598,40.6
18,3.530006,3.505194,40.4
19,3.516767,3.49398,40.6
20,3.503694,3.49166,40.5
21,3.493143,3.483179,40.8
22,3.484326,3.482425,40.3
23,3.475179,3.474142,40.7
24,3.465825,3.471685,40.4
25,3.457564,3.47013,40.5
26,3.450294,3.468532,40.4
27,3.442557,3.46568,40.6
28,3.43507,3.462625,40.4
29,3.428123,3.46284,40.8
30,3.421728,3.460327,40.4
31,3.416342,3.457817,40.5
32,3.409001,3.458284,40.4
33,3.403534,3.458914,40.5
34,3.398553,3.450311,40.4
35,3.392002,3.463435,40.4
36,3.38719,3.458974,40.4
37,3.381841,3.458959,40.5
38,3.376477,3.454552,40.4
39,3.371126,3.453814,40.5
40,3.366754,3.4569,40.5
41,3.36165,3.458191,40.4
42,3.357281,3.456158,40.4
43,3.35208,3.460672,40.6
44,3.347277,3.457072,40.7
