epoch,train_ce,val_ce,epoch_time_sec
1,3.951144,3.711691,42.4
2,3.623729,3.509201,40.7
3,3.483559,3.434436,40.3
4,3.434514,3.389237,40.7
5,3.395489,3.352265,41.2
6,3.366052,3.331585,40.4
7,3.338974,3.297875,40.2
8,3.309932,3.271262,40.1
9,3.278687,3.234505,40.3
10,3.241709,3.181883,40.2
11,3.198146,3.139402,40.1
12,3.156922,3.104455,40.2
13,3.125324,3.080669,40.2
14,3.098911,3.060419,40.1
15,3.079333,3.049718,40.5
16,3.063527,3.040608,40.1
17,3.05035,3.027346,40.1
18,3.037395,3.018632,40.4
19,3.028013,3.013523,40.1
20,3.016823,3.007037,40.2
21,3.009061,3.005069,40.5
22,2.999928,2.998095,40.1
23,2.991681,2.996734,40.2
24,2.984796,2.993415,40.6
25,2.977368,2.991094,40.1
26,2.970347,2.989778,40.1
27,2.964036,2.993062,40.4
28,2.957346,2.987374,40.2
29,2.951132,2.987802,40.4
30,2.944545,2.982925,40.3
31,2.938573,2.986001,40.1
32,2.933987,2.984297,40.3
33,2.927675,2.982947,40.4
34,2.922248,2.988137,40.2
35,2.916785,2.984279,40.1
36,2.912525,2.9846,40.3
37,2.907542,2.985253,40.3
38,2.901819,2.981848,40.4
39,2.897922,2.984985,40.3
40,2.893042,2.985262,40.1
41,2.889498,2.985832,40.7
42,2.884201,2.987652,40.2
43,2.880157,2.990052,40.2
44,2.876747,2.993502,40.3
45,2.874786,2.990179,40.2
46,2.86803,2.988581,40.3
47,2.864389,2.997935,40.2
48,2.860553,2.996121,40.2
