epoch,train_ce,val_ce,epoch_time_sec
1,4.621242,4.374963,40.7
2,4.272213,4.146038,40.4
3,4.114137,4.059918,40.5
4,4.049814,4.000784,40.6
5,4.001946,3.952712,40.4
6,3.960093,3.915089,40.5
7,3.92646,3.888259,40.7
8,3.896104,3.856236,40.4
9,3.864036,3.818702,40.5
10,3.828119,3.772614,40.4
11,3.781915,3.711621,40.6
12,3.730744,3.662888,40.4
13,3.693959,3.631608,40.5
14,3.664601,3.611171,40.5
15,3.640262,3.594524,40.5
16,3.619882,3.579827,40.5
17,3.604471,3.570635,40.6
18,3.589233,3.564161,40.4
19,3.574684,3.555026,40.6
20,3.56275,3.548515,40.5
21,3.550688,3.541268,40.8
22,3.540716,3.537017,40.4
23,3.531042,3.526948,40.7
24,3.522596,3.528245,40.4
25,3.513407,3.521996,40.4
26,3.504411,3.521154,40.4
27,3.497433,3.521095,40.6
28,3.489775,3.516713,40.5
29,3.482843,3.514896,40.8
30,3.476222,3.511538,40.5
31,3.470918,3.510577,40.5
32,3.463781,3.51063,40.4
33,3.457436,3.508371,40.4
34,3.451946,3.507257,40.5
35,3.445568,3.508377,40.4
36,3.439993,3.507573,40.4
37,3.434096,3.512607,40.5
38,3.430573,3.507205,40.4
39,3.42444,3.50716,40.4
40,3.419374,3.506028,40.7
41,3.415033,3.505996,40.4
42,3.410883,3.511147,40.4
43,3.406182,3.512171,40.5
44,3.400841,3.510925,40.7
45,3.396517,3.509293,41.8
46,3.392684,3.510521,41.5
47,3.387612,3.517058,41.8
48,3.384189,3.517766,41.9
49,3.38031,3.511312,41.5
50,3.375408,3.516722,41.5
51,3.373074,3.512738,41.9
