epoch,train_ce,val_ce,epoch_time_sec
1,5.15407,4.790725,44.4
2,4.672128,4.524503,41.2
3,4.489346,4.432457,41.0
4,4.418649,4.382046,41.2
5,4.36931,4.323673,41.4
6,4.329379,4.282699,41.1
7,4.292033,4.246818,41.1
8,4.258246,4.219821,41.2
9,4.222544,4.179128,41.0
10,4.186738,4.134687,41.1
11,4.142184,4.079035,41.1
12,4.089248,4.022431,41.0
13,4.044566,3.981341,41.0
14,4.008161,3.954374,41.5
15,3.978695,3.927862,41.0
16,3.955707,3.91824,41.0
17,3.935527,3.906206,41.1
18,3.917507,3.891112,41.1
19,3.902496,3.881699,41.0
20,3.891183,3.872504,41.2
21,3.875698,3.866424,41.1
22,3.865341,3.860101,40.9
23,3.856441,3.854988,41.1
24,3.845487,3.850083,41.0
25,3.837262,3.843678,41.1
26,3.829139,3.842257,41.1
27,3.82103,3.83656,41.3
28,3.813293,3.834229,41.1
29,3.805966,3.836536,41.1
30,3.798785,3.833507,41.5
31,3.79224,3.826627,41.2
32,3.786245,3.828438,41.3
33,3.779313,3.823345,41.0
34,3.774224,3.824082,42.9
35,3.768641,3.826237,42.1
36,3.763118,3.8209,41.7
37,3.756568,3.822874,41.7
38,3.751694,3.818914,41.5
39,3.746378,3.820703,41.3
40,3.740967,3.818023,41.1
41,3.737617,3.818557,41.5
42,3.731538,3.821194,40.9
43,3.72796,3.822342,41.1
44,3.722278,3.82235,41.0
45,3.718499,3.82005,41.2
46,3.715517,3.819204,41.0
47,3.711359,3.818621,41.1
48,3.706032,3.824751,41.5
49,3.702409,3.823882,41.1
50,3.699677,3.823216,41.3
