beta,K,temperature,n_gen,cat_score,cat_score_std,dog_score,dog_score_std
0.5,128,0.85,500,0.015449,0.097570,0.091210,0.219210
0.5,256,0.85,500,0.015106,0.092596,0.112866,0.233339
0.5,512,0.85,500,0.015452,0.100450,0.104947,0.227830
1.0,128,0.85,500,0.027012,0.137988,0.066023,0.164517
1.0,256,0.85,500,0.024244,0.114285,0.116418,0.239707
1.0,512,0.85,500,0.027482,0.115428,0.111255,0.235220
1.5,128,0.85,500,0.016249,0.095605,0.092902,0.208369
1.5,256,0.85,500,0.011238,0.060562,0.103209,0.222554
1.5,512,0.85,500,0.023822,0.119270,0.092867,0.202572
