beta,K,temperature,n_gen,cat_score,cat_score_std,dog_score,dog_score_std
0.5,128,0.9,500,0.026657,0.135872,0.125638,0.260421
0.5,256,0.9,500,0.021054,0.109208,0.116770,0.237922
0.5,512,0.9,500,0.033859,0.143092,0.110144,0.224880
1.0,128,0.9,500,0.043664,0.168581,0.109216,0.239788
1.0,256,0.9,500,0.037008,0.149806,0.139056,0.265007
1.0,512,0.9,500,0.036767,0.151514,0.147439,0.267796
1.5,128,0.9,500,0.022470,0.114153,0.106966,0.224494
1.5,256,0.9,500,0.020612,0.107280,0.134137,0.254316
1.5,512,0.9,500,0.030591,0.126482,0.152915,0.273523
