beta,K,FID
0.5,128,215.8392
0.5,256,216.2696
0.5,512,224.5379
1.0,128,217.1722
1.0,256,224.7128
1.0,512,221.1503
1.5,128,222.8340
1.5,256,217.8110
1.5,512,223.6802
