beta,K,temperature,n_gen,cat_score,cat_score_std,dog_score,dog_score_std
0.5,128,1.0,500,0.035655,0.154743,0.163942,0.297130
0.5,256,1.0,500,0.033033,0.136696,0.192681,0.307640
0.5,512,1.0,500,0.043909,0.162928,0.148855,0.277930
1.0,128,1.0,500,0.096539,0.255538,0.159238,0.283825
1.0,256,1.0,500,0.045059,0.171561,0.212032,0.325422
1.0,512,1.0,500,0.044098,0.161344,0.168027,0.282641
1.5,128,1.0,500,0.026381,0.132369,0.147065,0.271897
1.5,256,1.0,500,0.028501,0.129592,0.143831,0.261645
1.5,512,1.0,500,0.034534,0.150630,0.177232,0.286192
