beta,K,FID
0.5,128,209.2601
0.5,256,209.3099
0.5,512,217.2590
1.0,128,217.8591
1.0,256,220.7008
1.0,512,219.3440
1.5,128,219.5998
1.5,256,215.5185
1.5,512,218.8430
